web-scraper-order,web-scraper-start-url,news_item,news_item-href,title,description,images-src,topic,date
"1728756299-1","https://mzamin.com/category.php?cat=11#gsc.tab=0","ইসলামি ব্যাংকের চেয়ারম্যান হলেন ওবায়েদ উল্লাহ","https://mzamin.com/news.php?news=123999","ইসলামি ব্যাংকের চেয়ারম্যান হলেন ওবায়েদ উল্লাহ","","","",""
"1728756299-2","https://mzamin.com/category.php?cat=11#gsc.tab=0","ইসলামি ব্যাংকের চেয়ারম্যান হলেন ওবায়েদ উল্লাহ","https://mzamin.com/news.php?news=123999","","বেসরকারি খাতের ইসলামি ব্যাংকের চেয়ারম্যান হিসেবে নিয়োগ পেয়েছেন ওবায়েদ উল্লাহ আল মাসুদ।","","",""
"1728756299-3","https://mzamin.com/category.php?cat=11#gsc.tab=0","ইসলামি ব্যাংকের চেয়ারম্যান হলেন ওবায়েদ উল্লাহ","https://mzamin.com/news.php?news=123999","","এর আগে ২০১৬ সালে সোনালী ব্যাংকের এমডি হিসেবে দায়িত্ব পালন করেন তিনি। এর ৩ বছর পর ২০১৯ সালে রুপালী ব্যাংকের এমডি হিসেবে জয়েন করেন।","","",""
"1728756299-4","https://mzamin.com/category.php?cat=11#gsc.tab=0","ইসলামি ব্যাংকের চেয়ারম্যান হলেন ওবায়েদ উল্লাহ","https://mzamin.com/news.php?news=123999","","তার আগে কর্মসংস্থান ব্যাংকের এমডি ও অগ্রণী ব্যাংকের উপব্যবস্থাপনা পরিচালক হিসেবেও কাজ করেন ওবায়েদ উল্লাহ।","","",""
"1728756299-5","https://mzamin.com/category.php?cat=11#gsc.tab=0","ইসলামি ব্যাংকের চেয়ারম্যান হলেন ওবায়েদ উল্লাহ","https://mzamin.com/news.php?news=123999","","১৯৮৩ সালে অগ্রণী ব্যাংকে সিনিয়র অফিসার হিসেবে কর্মজীবন শুরু করা ওবায়েদ উল্লাহ আল মাসুদ ১৯৮২ সালে ঢাকা বিশ্ববিদ্যালয়ের ব্যবস্থাপনা বিভাগ থেকে বি.কম (অনার্স) এবং ১৯৮৮ সালে আইবিএ থেকে ফিন্যান্স বিষয়ে এমবিএ ডিগ্রী লাভ করেন। এর আগে ঢাকা শিক্ষা বোর্ড থেকে এসএসসিতে বাণিজ্য বিভাগে মেধা তালিকায় তৃতীয় হন তিনি। ১৯৬০ সালে ঢাকা জেলার নবাবগঞ্জের ছোট রাজপাড়ায় তার জন্ম।","","",""
"1728756299-6","https://mzamin.com/category.php?cat=11#gsc.tab=0","ইসলামি ব্যাংকের চেয়ারম্যান হলেন ওবায়েদ উল্লাহ","https://mzamin.com/news.php?news=123999","","","","",""
"1728756299-7","https://mzamin.com/category.php?cat=11#gsc.tab=0","ইসলামি ব্যাংকের চেয়ারম্যান হলেন ওবায়েদ উল্লাহ","https://mzamin.com/news.php?news=123999","","পাঠকের মতামত","","",""
"1728756299-8","https://mzamin.com/category.php?cat=11#gsc.tab=0","ইসলামি ব্যাংকের চেয়ারম্যান হলেন ওবায়েদ উল্লাহ","https://mzamin.com/news.php?news=123999","","সফলতা কামনা করছি। এগিয়ে যাক ইসলামী ব্যাংক।","","",""
"1728756299-9","https://mzamin.com/category.php?cat=11#gsc.tab=0","ইসলামি ব্যাংকের চেয়ারম্যান হলেন ওবায়েদ উল্লাহ","https://mzamin.com/news.php?news=123999","","বিএনপি আমলে যারা চালাইতো তাদের কে নিয়ে আসা উচিত","","",""
"1728756299-10","https://mzamin.com/category.php?cat=11#gsc.tab=0","ইসলামি ব্যাংকের চেয়ারম্যান হলেন ওবায়েদ উল্লাহ","https://mzamin.com/news.php?news=123999","","ইসলামীব্যাংকের মতো শরীয়াহ ভিত্তিক ব্যাংকের চেয়ারম্যান হয়েছেন।যে কিনা আগে সুদী ব্যাংকে চাকরী করতো।হতাশ লাগছে এর চেয়ে যোগ্য ইসলামীক ব্যক্তি হলে ভালো হতো।","","",""
"1728756299-11","https://mzamin.com/category.php?cat=11#gsc.tab=0","ইসলামি ব্যাংকের চেয়ারম্যান হলেন ওবায়েদ উল্লাহ","https://mzamin.com/news.php?news=123999","","সুদ ভিত্তিক ব্যাংকের মানুষ ইসলামী ব্যাংকে কেন?
সুদ মুক্ত বাংলাদেশ চাই।","","",""
"1728756299-12","https://mzamin.com/category.php?cat=11#gsc.tab=0","ইসলামি ব্যাংকের চেয়ারম্যান হলেন ওবায়েদ উল্লাহ","https://mzamin.com/news.php?news=123999","","","","অর্থ-বাণিজ্য",""
"1728756299-13","https://mzamin.com/category.php?cat=11#gsc.tab=0","ইসলামি ব্যাংকের চেয়ারম্যান হলেন ওবায়েদ উল্লাহ","https://mzamin.com/news.php?news=123999","","","","","(১ মাস আগে) ২২ আগস্ট ২০২৪, বৃহস্পতিবার, ৫:৩১ অপরাহ্ন"
"1728756299-14","https://mzamin.com/category.php?cat=11#gsc.tab=0","ইসলামি ব্যাংকের চেয়ারম্যান হলেন ওবায়েদ উল্লাহ","https://mzamin.com/news.php?news=123999","","","","","সর্বশেষ আপডেট: ৮:৩৭ অপরাহ্ন"
"1728756301-15","https://mzamin.com/category.php?cat=11#gsc.tab=0","নগদের বোর্ড ও সিইও পদ থাকছে না: প্রশাসক","https://mzamin.com/news.php?news=124008","নগদের বোর্ড ও সিইও পদ থাকছে না: প্রশাসক","","","",""
