web-scraper-order,web-scraper-start-url,news_item,news_item-href,title,description,images-src,topic,date
"1728756955-1","https://mzamin.com/category.php?cat=6#gsc.tab=0","হেনস্তার অভিযোগে জাতীয় পুরস্কার স্থগিত","https://mzamin.com/news.php?news=130524","হেনস্তার অভিযোগে জাতীয় পুরস্কার স্থগিত","","","",""
"1728756955-2","https://mzamin.com/category.php?cat=6#gsc.tab=0","হেনস্তার অভিযোগে জাতীয় পুরস্কার স্থগিত","https://mzamin.com/news.php?news=130524","","‘স্ত্রী ২’ থেকে আজ কি রাত, একের পর এক সুপারহিট গানের কোরিওগ্রাফি করেছেন জনি মাস্টার। সম্প্রতি সহকর্মীকে যৌন হেনস্তার অভিযোগে তাকে গ্রেপ্তার করে হায়দরাবাদ পুলিশ। এবার তার সেরা কোরিওগ্রাফির জন্য পাওয়া জাতীয় পুরস্কারটিও স্থগিত করা হয়েছে। শুক্রবার, আইএন্ডবি মন্ত্রণালয়ের জাতীয় চলচ্চিত্র পুরস্কার সেল এক বিবৃতিতে এ কথা জানায়।","","",""
"1728756955-3","https://mzamin.com/category.php?cat=6#gsc.tab=0","হেনস্তার অভিযোগে জাতীয় পুরস্কার স্থগিত","https://mzamin.com/news.php?news=130524","","","uploads/news/main/130524_hen.webp","",""
"1728756955-4","https://mzamin.com/category.php?cat=6#gsc.tab=0","হেনস্তার অভিযোগে জাতীয় পুরস্কার স্থগিত","https://mzamin.com/news.php?news=130524","","","","বিনোদন",""
"1728756958-5","https://mzamin.com/category.php?cat=6#gsc.tab=0","অভিনয়ে অভিষেক কন্যা","https://mzamin.com/news.php?news=130525","অভিনয়ে অভিষেক কন্যা","","","",""
"1728756958-6","https://mzamin.com/category.php?cat=6#gsc.tab=0","অভিনয়ে অভিষেক কন্যা","https://mzamin.com/news.php?news=130525","","অভিনয়ে পা রাখতে যাচ্ছেন ভারতীয় বাংলা সিনেমার প্রয়াত অভিনেতা অভিষেক চ্যাটার্জির কন্যা সাইনা চ্যাটার্জি। স্টার জলসার ‘অনুরাগের ছোঁয়া’ ধারাবাহিকের মাধ্যমে অভিনয়ে যাত্রা শুরু হতে যাচ্ছে তার। অভিষেকের স্ত্রী সংযুক্তা চ্যাটার্জি বলেন, ক্যামেরার সামনে দাঁড়ানোর আগে একটুও ভয় পায়নি নবম শ্রেণিতে পড়ুয়া সাইনা। বরং সকলের সঙ্গে দারুণ মিশে গিয়েছে।","","",""
"1728756958-7","https://mzamin.com/category.php?cat=6#gsc.tab=0","অভিনয়ে অভিষেক কন্যা","https://mzamin.com/news.php?news=130525","","","uploads/news/main/130525_ovi.webp","",""
"1728756958-8","https://mzamin.com/category.php?cat=6#gsc.tab=0","অভিনয়ে অভিষেক কন্যা","https://mzamin.com/news.php?news=130525","","","","বিনোদন",""
"1728756960-9","https://mzamin.com/category.php?cat=6#gsc.tab=0","দর্শক টানতে ব্যর্থ ‘জিম্মি’","https://mzamin.com/news.php?news=130526","দর্শক টানতে ব্যর্থ ‘জিম্মি’","","","",""
"1728756960-10","https://mzamin.com/category.php?cat=6#gsc.tab=0","দর্শক টানতে ব্যর্থ ‘জিম্মি’","https://mzamin.com/news.php?news=130526","","সাত পর্বের ওয়েব সিরিজ হিসেবে নির্মিত হওয়ার কথা ছিল ‘জিম্মি’ সিনেমাটি। কিন্তু একপর্যায়ে সিদ্ধান্ত বদলান প্রযোজক ও অভিনেতা মনোয়ার হোসেন ডিপজল। শুক্রবার দেশের ২০টি প্রেক্ষাগৃহে মুক্তি দেয়া হয় সিনেমাটি। এতে ডিপজলের বিপরীতে অভিনয় করেছেন শিরীন শিলা। ওয়েব সিরিজ থেকে সিনেমায় রূপান্তর করলেও দর্শক টানতে ব্যর্থ হয়েছে ‘জিম্মি’। জানা যায়, ক’দিনের টানা বৃষ্টিতে দর্শক খরায় ভুগছে সিনেমাটি।","","",""
"1728756960-11","https://mzamin.com/category.php?cat=6#gsc.tab=0","দর্শক টানতে ব্যর্থ ‘জিম্মি’","https://mzamin.com/news.php?news=130526","","","uploads/news/main/130526_dor.webp","",""
"1728756960-12","https://mzamin.com/category.php?cat=6#gsc.tab=0","দর্শক টানতে ব্যর্থ ‘জিম্মি’","https://mzamin.com/news.php?news=130526","","","","বিনোদন",""
"1728756963-13","https://mzamin.com/category.php?cat=6#gsc.tab=0","ভূমি দখলের অভিযোগ","https://mzamin.com/news.php?news=130527","ভূমি দখলের অভিযোগ","","","",""
