web-scraper-order,web-scraper-start-url,news_item,news_item-href,title,description,images-src,topic,date
"1728756679-1","https://mzamin.com/category.php?cat=24","আন্তর্জাতিক গণতন্ত্র দিবসের সমাবেশের তারিখ পরিবর্তন করল বিএনপি","https://mzamin.com/news.php?news=127538","আন্তর্জাতিক গণতন্ত্র দিবসের সমাবেশের তারিখ পরিবর্তন করল বিএনপি","","","",""
"1728756679-2","https://mzamin.com/category.php?cat=24","আন্তর্জাতিক গণতন্ত্র দিবসের সমাবেশের তারিখ পরিবর্তন করল বিএনপি","https://mzamin.com/news.php?news=127538","","বিরূপ আবহাওয়ার কারণের আন্তর্জাতিক গণতন্ত্র দিবস উপলক্ষে সমাবেশের তারিখ পুনঃনির্ধারণ করেছে বিএনপি। রোববার রাজধানীর নয়াপল্টন বিএনপির কেন্দ্রীয় কার্যালয়ের সামনে এই সমাবেশ হওয়ার কথা ছিল। বিরূপ আবহাওয়ার কারণের ১৫ সেপ্টেম্বর (রোববার) পরিবর্তে আগামী ১৭ সেপ্টেম্বর (মঙ্গলবার) এই সমাবেশ অনুষ্ঠিত হবে। এতে প্রধান অতিথি হিসেবে লন্ডন থেকে ভার্চ্যুয়ালি যুক্ত হয়ে বক্তব্যে রাখবেন বিএনপির ভারপ্রাপ্ত চেয়ারম্যান তারেক রহমান।
শনিবার রাতে বিএনপি চেয়ারপারসনের গুলশান রাজনৈতিক কার্যালয়ে এক জরুরি সংবাদ সম্মেলনে এ কথা জানান দলের স্থায়ী কমিটির সদস্য ডা. এজেডএম জাহিদ হোসেন। বলেন, ঢাকায় সমাবেশের তারিখ পরিবর্তন হলেও বিভাগীয় শহরের কর্মসূচি ঠিক আছে। অর্থাৎ রোববারই আন্তর্জাতিক গণতন্ত্র দিবস উপলক্ষে বিভাগীয় শহরে র‌্যালি করবে বিএনপি।","","",""
"1728756679-3","https://mzamin.com/category.php?cat=24","আন্তর্জাতিক গণতন্ত্র দিবসের সমাবেশের তারিখ পরিবর্তন করল বিএনপি","https://mzamin.com/news.php?news=127538","","পাঠকের মতামত","","",""
"1728756679-4","https://mzamin.com/category.php?cat=24","আন্তর্জাতিক গণতন্ত্র দিবসের সমাবেশের তারিখ পরিবর্তন করল বিএনপি","https://mzamin.com/news.php?news=127538","","ছুটির দিনে সমাবেশ ডাকা হলে ভালো হতো!","","",""
"1728756679-5","https://mzamin.com/category.php?cat=24","আন্তর্জাতিক গণতন্ত্র দিবসের সমাবেশের তারিখ পরিবর্তন করল বিএনপি","https://mzamin.com/news.php?news=127538","","বিএনপি’র উচিৎ অফিস ডেতে শহরের ভেতরের জনসমাগম এড়িয়ে চলা, তাতে জনভোগান্তি কমবে। এমনিতেই রাজধানীতে প্রতিনিয়ত নানা রকম ভোগান্তি লেগেই থাকে।","","",""
"1728756679-6","https://mzamin.com/category.php?cat=24","আন্তর্জাতিক গণতন্ত্র দিবসের সমাবেশের তারিখ পরিবর্তন করল বিএনপি","https://mzamin.com/news.php?news=127538","","","advert/static/advert-img/premer-mar-24.gif","",""
"1728756679-7","https://mzamin.com/category.php?cat=24","আন্তর্জাতিক গণতন্ত্র দিবসের সমাবেশের তারিখ পরিবর্তন করল বিএনপি","https://mzamin.com/news.php?news=127538","","","advert/static/advert-img/premer-mar-dt-24.gif","",""
"1728756679-8","https://mzamin.com/category.php?cat=24","আন্তর্জাতিক গণতন্ত্র দিবসের সমাবেশের তারিখ পরিবর্তন করল বিএনপি","https://mzamin.com/news.php?news=127538","","","","রাজনীতি",""
"1728756679-9","https://mzamin.com/category.php?cat=24","আন্তর্জাতিক গণতন্ত্র দিবসের সমাবেশের তারিখ পরিবর্তন করল বিএনপি","https://mzamin.com/news.php?news=127538","","","","","(৪ সপ্তাহ আগে) ১৪ সেপ্টেম্বর ২০২৪, শনিবার, ৯:২২ অপরাহ্ন"
"1728756679-10","https://mzamin.com/category.php?cat=24","আন্তর্জাতিক গণতন্ত্র দিবসের সমাবেশের তারিখ পরিবর্তন করল বিএনপি","https://mzamin.com/news.php?news=127538","","","","","সর্বশেষ আপডেট: ১:৫০ অপরাহ্ন"
"1728756681-11","https://mzamin.com/category.php?cat=24","এখন সবচেয়ে বেশি প্রয়োজন ইস্পাত কঠিন ঐক্য: ফখরুল","https://mzamin.com/news.php?news=127556","এখন সবচেয়ে বেশি প্রয়োজন ইস্পাত কঠিন ঐক্য: ফখরুল","","","",""
