web-scraper-order,web-scraper-start-url,newsitem,newsitem-href,title,description,image-link-src,topic
"1728755502-1","https://bdnews24.com/technology","Meta bans Russian state media","https://bdnews24.com/technology/9c372c81bc2b","Me tabans Russian state media for 'foreign interference'","","",""
"1728755502-2","https://bdnews24.com/technology","Meta bans Russian state media","https://bdnews24.com/technology/9c372c81bc2b","","Facebook owner Meta said on Monday it was banning RT, Rossiya Segodnya and other Russian state media networks from its platforms, claiming the outlets had used deceptive tactics to carry out covert influence operations online.","",""
"1728755502-3","https://bdnews24.com/technology","Meta bans Russian state media","https://bdnews24.com/technology/9c372c81bc2b","","The ban, strongly criticised by the Kremlin, marks a sharp escalation in measures by the world's biggest social media company against Russian state media, after years of more limited steps such as blocking the outlets from running ads and reducing the reach of their posts.","",""
"1728755502-4","https://bdnews24.com/technology","Meta bans Russian state media","https://bdnews24.com/technology/9c372c81bc2b","","""After careful consideration, we expanded our ongoing enforcement against Russian state media outlets. Rossiya Segodnya, RT and other related entities are now banned from our apps globally for foreign interference activity,"" the social media company said in a written statement.","",""
"1728755502-5","https://bdnews24.com/technology","Meta bans Russian state media","https://bdnews24.com/technology/9c372c81bc2b","","A spokesperson for Alphabet's YouTube also said the company terminated over 230 channels affiliated with Rossiya Segodnya and AVO TV Novosti, which were already blocked from viewers.","",""
"1728755502-6","https://bdnews24.com/technology","Meta bans Russian state media","https://bdnews24.com/technology/9c372c81bc2b","","In addition to Facebook, Meta's apps include Instagram, WhatsApp and Threads. Prior to the ban, RT had more than 7.2 million followers on Facebook and more than 1 million followers on Instagram.","",""
"1728755502-7","https://bdnews24.com/technology","Meta bans Russian state media","https://bdnews24.com/technology/9c372c81bc2b","","Kremlin spokesman Dmitry Peskov told reporters on Tuesday: ""Meta is discrediting itself with these actions. Such selective actions against Russian media are unacceptable. ... This complicates prospects for normalising our relations with Meta.""","",""
"1728755502-8","https://bdnews24.com/technology","Meta bans Russian state media","https://bdnews24.com/technology/9c372c81bc2b","","Moscow branded Meta an ""extremist"" organisation in 2022 and blocked Instagram and Facebook, objecting to changes in Meta's hate speech policy designed to allow users to vent their anger over Russia's invasion of Ukraine.","",""
"1728755502-9","https://bdnews24.com/technology","Meta bans Russian state media","https://bdnews24.com/technology/9c372c81bc2b","","Russia has also criticised previous efforts by Meta to limit the reach of Russian media and fined the company several times for not removing content in Russia it considers illegal.","",""
"1728755502-10","https://bdnews24.com/technology","Meta bans Russian state media","https://bdnews24.com/technology/9c372c81bc2b","","Moscow's pre-existing bans on Instagram and Facebook may limit its ability to respond to Meta's state media block, but WhatsApp, which Russia has stopped short of banning so far, is used by millions of Russians.","",""
"1728755502-11","https://bdnews24.com/technology","Meta bans Russian state media","https://bdnews24.com/technology/9c372c81bc2b","","Telegram Messenger, whose Russian founder Pavel Durov was placed under formal investigation in France last month, is also widely used in Russia.","",""
"1728755502-12","https://bdnews24.com/technology","Meta bans Russian state media","https://bdnews24.com/technology/9c372c81bc2b","","VK Video, run by state-controlled tech firm VK, offers an alternative to YouTube, which has come under pressure in Russia over its own efforts to block Russian state media.","",""
"1728755502-13","https://bdnews24.com/technology","Meta bans Russian state media","https://bdnews24.com/technology/9c372c81bc2b","","The RIA Novosti Instagram page is seen to be unavailable after Facebook owner Meta banned RT, Rossiya Segodnya and other Russian state media networks from its platforms, in this screengrab taken on Sept 17, 2024. Social Media Website/via REUTERS","",""
"1728755502-14","https://bdnews24.com/technology","Meta bans Russian state media","https://bdnews24.com/technology/9c372c81bc2b","","The RIA Novosti Instagram page is seen to be unavailable after Facebook owner Meta banned RT, Rossiya Segodnya and other Russian state media networks from its platforms, in this screengrab taken on Sept 17, 2024. Social Media Website/via REUTERS","",""
"1728755502-15","https://bdnews24.com/technology","Meta bans Russian state media","https://bdnews24.com/technology/9c372c81bc2b","","The White House declined to comment on Meta's move, which came after the United States filed money-laundering charges against two RT employees for what officials said was a scheme to hire an American company to produce online content to influence the 2024 election.","",""
"1728755502-16","https://bdnews24.com/technology","Meta bans Russian state media","https://bdnews24.com/technology/9c372c81bc2b","","US Secretary of State Antony Blinken said on Friday that countries should treat RT's activities as they do covert intelligence operations.","",""
"1728755502-17","https://bdnews24.com/technology","Meta bans Russian state media","https://bdnews24.com/technology/9c372c81bc2b","","RT has mocked the US actions and accused the United States of trying to prevent the broadcaster from operating as a journalistic organisation.","",""
"1728755502-18","https://bdnews24.com/technology","Meta bans Russian state media","https://bdnews24.com/technology/9c372c81bc2b","","In briefing materials shared with Reuters, Meta said it had seen Russian state-controlled media try to evade detection in their online activities in the past and expected them to continue trying to engage in deceptive practises going forward.","",""
"1728755502-19","https://bdnews24.com/technology","Meta bans Russian state media","https://bdnews24.com/technology/9c372c81bc2b","","","https://cdn.bdnews24.com/bdnews24/media/english/imgAll/2024September/meta-ban-18092024-01-1726605811.jpg",""
"1728755502-20","https://bdnews24.com/technology","Meta bans Russian state media","https://bdnews24.com/technology/9c372c81bc2b","","","","Technology"
"1728755504-21","https://bdnews24.com/technology","Brazil's court threatens X with hefty fine","https://bdnews24.com/technology/1c2e1ef4417e","Brazil's top court threatens X with hefty fine for bypassing ban","","",""
"1728755504-22","https://bdnews24.com/technology","Brazil's court threatens X with hefty fine","https://bdnews24.com/technology/1c2e1ef4417e","","Brazil's Supreme Court ordered Elon Musk-owned X not to circumvent a previous ruling suspending the social media platform in the country, at risk of a daily fine of 5 million reais ($921,726.95), according to a decision issued late on Wednesday.","",""
"1728755504-23","https://bdnews24.com/technology","Brazil's court threatens X with hefty fine","https://bdnews24.com/technology/1c2e1ef4417e","","X became accessible to many users in Brazil on Wednesday after an update to its communications network bypassed the court-ordered block. A 5-million-real fine has already been imposed because of that action, according to the decision.","",""
"1728755504-24","https://bdnews24.com/technology","Brazil's court threatens X with hefty fine","https://bdnews24.com/technology/1c2e1ef4417e","","In August, after a months-long dispute between Musk and Brazilian Justice Alexandre de Moraes, the Supreme Court ordered Brazil's mobile and internet service providers to block the platform, cutting users off within hours.","",""
"1728755504-25","https://bdnews24.com/technology","Brazil's court threatens X with hefty fine","https://bdnews24.com/technology/1c2e1ef4417e","","""There is no doubt that X, under Elon Musk's direct command, again intends to disrespect Brazil's Judiciary,"" Moraes wrote in his latest order, saying the platform had a ""strategy"" to circumvent the ban.","",""
"1728755504-26","https://bdnews24.com/technology","Brazil's court threatens X with hefty fine","https://bdnews24.com/technology/1c2e1ef4417e","","X said on Wednesday that a switch in network providers had resulted in ""an inadvertent and temporary service restoration"" in Brazil, adding that it is maintaining efforts to work with the Brazilian government to resume service there ""very soon"".","",""
"1728755504-27","https://bdnews24.com/technology","Brazil's court threatens X with hefty fine","https://bdnews24.com/technology/1c2e1ef4417e","","Brazilian law office Pinheiro Neto Advogados, which is representing X in the Brazilian Supreme Court, declined to comment on Thursday.","",""
"1728755504-28","https://bdnews24.com/technology","Brazil's court threatens X with hefty fine","https://bdnews24.com/technology/1c2e1ef4417e","","Courts have previously blocked accounts implicated in probes of allegedly spreading misinformation and hate, which Musk has denounced as censorship, and they have ordered X to name a local representative as required by Brazilian law.","",""
"1728755504-29","https://bdnews24.com/technology","Brazil's court threatens X with hefty fine","https://bdnews24.com/technology/1c2e1ef4417e","","The national telecommunications agency Anatel said in a statement that it is working to block X's access in Brazil through Cloudflare, the content delivery network the platform used to circumvent the block. This will likely happen by the end of Thursday, according to a person familiar with the situation.","",""
"1728755504-30","https://bdnews24.com/technology","Brazil's court threatens X with hefty fine","https://bdnews24.com/technology/1c2e1ef4417e","","Other platforms, such as Fastly and EdgeUno, may have also been tapped by X to bypass the law, according to authorities.","",""
"1728755504-31","https://bdnews24.com/technology","Brazil's court threatens X with hefty fine","https://bdnews24.com/technology/1c2e1ef4417e","","Anatel is contacting San Francisco-based Fastly and Brazil's EdgeUno on Thursday to confirm if those platforms are providing unlawful access to X, the person familiar with the situation told Reuters.","",""
"1728755504-32","https://bdnews24.com/technology","Brazil's court threatens X with hefty fine","https://bdnews24.com/technology/1c2e1ef4417e","","Anatel reached Cloudflare on Wednesday, and the company agreed to collaborate with Brazilian authorities, the person said, adding that the suspension of services would not jeopardise access to other networks that may use the same cloud service.","",""
"1728755504-33","https://bdnews24.com/technology","Brazil's court threatens X with hefty fine","https://bdnews24.com/technology/1c2e1ef4417e","","","https://cdn.bdnews24.com/bdnews24/media/english/imgAll/2024September/brazil-court-20092024-01-1726777345.jpg",""
"1728755504-34","https://bdnews24.com/technology","Brazil's court threatens X with hefty fine","https://bdnews24.com/technology/1c2e1ef4417e","","","","Technology"
