web-scraper-order,web-scraper-start-url,news-selector,news-selector-href,title,description,images-src
"1728742115-1","https://www.prothomalo.com/world","শান্তিতে নোবেল পুরস্কার ঘোষণা শুক্রবার, সম্ভাব্য দাবিদার যাঁরা","https://www.prothomalo.com/world/pua0e3wdg7","শান্তিতে নোবেল পুরস্কার ঘোষণা শুক্রবার, সম্ভাব্য দাবিদার যাঁরা","",""
"1728742115-2","https://www.prothomalo.com/world","শান্তিতে নোবেল পুরস্কার ঘোষণা শুক্রবার, সম্ভাব্য দাবিদার যাঁরা","https://www.prothomalo.com/world/pua0e3wdg7","","শান্তিতে নোবেল পুরস্কার দেওয়া হবে শুক্রবার। এ বছর পুরস্কারটির জন্য আন্তর্জাতিক বিচার আদালত (আইসিজে), জাতিসংঘের ত্রাণ কার্যক্রম সংস্থা (ইউএনআরডব্লিউএ) এবং জাতিসংঘের প্রধান আন্তোনিও গুতেরেসকে এগিয়ে রাখা হচ্ছে। বিশ্বশান্তির জন্য অন্ধকারাচ্ছান্ন একটি বছরে এবারের পুরস্কারটিকে বিবেচনা করা হচ্ছে আলোর মশাল হিসেবে।",""
"1728742115-3","https://www.prothomalo.com/world","শান্তিতে নোবেল পুরস্কার ঘোষণা শুক্রবার, সম্ভাব্য দাবিদার যাঁরা","https://www.prothomalo.com/world/pua0e3wdg7","","চলতি বছর নোবেল শান্তি পুরস্কারের জন্য ইউক্রেন ও মধ্যপ্রাচ্য যুদ্ধ, সুদানে দুর্ভিক্ষ, জলবায়ু পরিবর্তন সংকটসহ অনেক বিষয় সামনে এসেছে। এ কারণে নোবেল পর্যবেক্ষকেরা শেষ মুহূর্তে এসে এবারের বিজয়ী সম্পর্কে ভবিষ্যদ্বাণী করতে হিমশিম খাচ্ছেন।",""
"1728742115-4","https://www.prothomalo.com/world","শান্তিতে নোবেল পুরস্কার ঘোষণা শুক্রবার, সম্ভাব্য দাবিদার যাঁরা","https://www.prothomalo.com/world/pua0e3wdg7","","চলতি বছর মোট ২৮৬ প্রার্থীর মধ্যে ১৯৭ ব্যক্তি ও ৮৯টি প্রতিষ্ঠান মনোনীতদের তালিকায় আছে বলে জানা গেছে।",""
"1728742115-5","https://www.prothomalo.com/world","শান্তিতে নোবেল পুরস্কার ঘোষণা শুক্রবার, সম্ভাব্য দাবিদার যাঁরা","https://www.prothomalo.com/world/pua0e3wdg7","","নরওয়ের নোবেল কমিটি ৫০ বছর ধরে প্রার্থীদের নাম গোপন রেখে আসছে। তবে যাঁরা মনোনয়ন দিতে পারেন, তাঁদের জন্য প্রস্তাবিত ব্যক্তির নাম প্রকাশ করার অনুমতি আছে।",""
"1728742115-6","https://www.prothomalo.com/world","শান্তিতে নোবেল পুরস্কার ঘোষণা শুক্রবার, সম্ভাব্য দাবিদার যাঁরা","https://www.prothomalo.com/world/pua0e3wdg7","","নরওয়েজীয় পিস কাউন্সিল ভবিষ্যদ্বাণী করেছে যে ফিলিস্তিনে জাতিসংঘ পরিচালিত শরণার্থী সংস্থা (ইউএনআরডব্লিউএ) এ বছর নোবেল শান্তি পুরস্কার পেতে পারে।",""
"1728742115-7","https://www.prothomalo.com/world","শান্তিতে নোবেল পুরস্কার ঘোষণা শুক্রবার, সম্ভাব্য দাবিদার যাঁরা","https://www.prothomalo.com/world/pua0e3wdg7","","গত বছরের ৭ অক্টোবর ইসরায়েলের মাটিতে হামলা চালায় ফিলিস্তিনের স্বাধীনতাকামী সংগঠন হামাস। পরিণতিতে দুই পক্ষের মধ্যে ভয়াবহ সংঘর্ষ শুরু হয়। এক বছর ধরে চলা এ সংঘর্ষ পুরো মধ্যপ্রাচ্যকে পূর্ণ মাত্রার যুদ্ধের দিকে ঠেলে দেওয়ার ঝুঁকি তৈরি করেছে।",""
"1728742115-8","https://www.prothomalo.com/world","শান্তিতে নোবেল পুরস্কার ঘোষণা শুক্রবার, সম্ভাব্য দাবিদার যাঁরা","https://www.prothomalo.com/world/pua0e3wdg7","","ইউএনআরডব্লিউএ মূলত গাজা উপত্যকা, পশ্চিম তীর এবং প্রতিবেশী দেশগুলোয় লাখো ফিলিস্তিনিকে সহায়তা দেয়। নরওয়েজীয় পিস কাউন্সিল বলেছে, ইউএনআরডব্লিউএ নোবেল শান্তি পুরস্কার পেলে সেটি হবে কঠিন রাজনৈতিক ও অর্থনৈতিক পরিস্থিতির মধ্যেও তাদের কাজের একটি শক্তিশালী স্বীকৃতি।",""
"1728742115-9","https://www.prothomalo.com/world","শান্তিতে নোবেল পুরস্কার ঘোষণা শুক্রবার, সম্ভাব্য দাবিদার যাঁরা","https://www.prothomalo.com/world/pua0e3wdg7","","ভবিষ্যদ্বাণীটি সত্য প্রমাণিত হলে জাতিসংঘের সংস্থাটির প্রধান ফিলিপ লাজারিনিও শান্তিতে নোবেল পেতে পারেন।",""
"1728742115-10","https://www.prothomalo.com/world","শান্তিতে নোবেল পুরস্কার ঘোষণা শুক্রবার, সম্ভাব্য দাবিদার যাঁরা","https://www.prothomalo.com/world/pua0e3wdg7","","সংস্থাটির সঙ্গে হামাসের যোগসাজশ আছে বলে অভিযোগ করে আসছে ইসরায়েল। নোবেল পুরস্কারের মাধ্যমে সংস্থাটিকে স্বীকৃতি দিলে ইসরায়েলি কর্তৃপক্ষ নিশ্চিতভাবে ক্ষুব্ধ হবে।",""
"1728742115-11","https://www.prothomalo.com/world","শান্তিতে নোবেল পুরস্কার ঘোষণা শুক্রবার, সম্ভাব্য দাবিদার যাঁরা","https://www.prothomalo.com/world/pua0e3wdg7","","মধ্যপ্রাচ্যের সংঘাত এবং ইউক্রেনে রাশিয়ার আক্রমণের বিষয়টি আমলে নেওয়ার আরেকটি উপায় হতে পারে আন্তর্জাতিক বিচার আদালতকে (আইসিজে) পুরস্কৃত করা। যুদ্ধক্ষেত্রের বদলে আদালতকক্ষে বিভিন্ন দেশের মধ্যে সংঘাত সমাধানের কাজ করে আইসিজে।",""
