web-scraper-order,web-scraper-start-url,newsitem,newsitem-href,title,description,image-link-src,topic
"1728754881-1","https://bdnews24.com/archive","Middle East
                        Israel, backed by West, 'killing innocent people': Iranian president
                                                    Published : 11 Oct 2024, 11:09 PM","https://bdnews24.com/middle-east/2e01b05baae5","Iranian president says Israel, backed by West, is 'killing innocent people","","",""
"1728754881-2","https://bdnews24.com/archive","Middle East
                        Israel, backed by West, 'killing innocent people': Iranian president
                                                    Published : 11 Oct 2024, 11:09 PM","https://bdnews24.com/middle-east/2e01b05baae5","","Iranian President Masoud Pezeshkian said on Friday that Israel should ""stop killing innocent people"", and that its actions in the Middle East were backed by the United States and the European Union.","",""
"1728754881-3","https://bdnews24.com/archive","Middle East
                        Israel, backed by West, 'killing innocent people': Iranian president
                                                    Published : 11 Oct 2024, 11:09 PM","https://bdnews24.com/middle-east/2e01b05baae5","","Pezeshkian was speaking to a Russian state TV reporter on the sidelines of an international meeting in Turkmenistan.","",""
"1728754881-4","https://bdnews24.com/archive","Middle East
                        Israel, backed by West, 'killing innocent people': Iranian president
                                                    Published : 11 Oct 2024, 11:09 PM","https://bdnews24.com/middle-east/2e01b05baae5","","Israel in recent weeks has sharply escalated its assault on Lebanon's Iran-backed Hezbollah movement, including by killing its top leaders, sending ground troops into southern Lebanon and bombing the capital Beirut.","",""
"1728754881-5","https://bdnews24.com/archive","Middle East
                        Israel, backed by West, 'killing innocent people': Iranian president
                                                    Published : 11 Oct 2024, 11:09 PM","https://bdnews24.com/middle-east/2e01b05baae5","","An Israeli strike late on Thursday in the heart of Beirut killed 22 people and injured more than 100, Lebanese authorities said.","",""
"1728754881-6","https://bdnews24.com/archive","Middle East
                        Israel, backed by West, 'killing innocent people': Iranian president
                                                    Published : 11 Oct 2024, 11:09 PM","https://bdnews24.com/middle-east/2e01b05baae5","","Israel says the operations in Lebanon aim to allow tens of thousands of its residents to return home after being forced to leave northern Israel due to Hezbollah rocket fire over the past year.","",""
"1728754881-7","https://bdnews24.com/archive","Middle East
                        Israel, backed by West, 'killing innocent people': Iranian president
                                                    Published : 11 Oct 2024, 11:09 PM","https://bdnews24.com/middle-east/2e01b05baae5","","Hezbollah is firing at Israel in support of its ally Hamas, which triggered Israel's ground offensive in Gaza following an Oct 7 attack on communities in southern Israel.","",""
"1728754881-8","https://bdnews24.com/archive","Middle East
                        Israel, backed by West, 'killing innocent people': Iranian president
                                                    Published : 11 Oct 2024, 11:09 PM","https://bdnews24.com/middle-east/2e01b05baae5","","""I would like to say to Israel: stop killing innocent people. Stop bombing residential buildings, people who have nothing anyway,"" said Pezeshkian, accusing Israel of violating every kind of international agreement.","",""
"1728754881-9","https://bdnews24.com/archive","Middle East
                        Israel, backed by West, 'killing innocent people': Iranian president
                                                    Published : 11 Oct 2024, 11:09 PM","https://bdnews24.com/middle-east/2e01b05baae5","","""It does this because it knows that the US and the European Union are behind it,"" he said.","",""
"1728754881-10","https://bdnews24.com/archive","Middle East
                        Israel, backed by West, 'killing innocent people': Iranian president
                                                    Published : 11 Oct 2024, 11:09 PM","https://bdnews24.com/middle-east/2e01b05baae5","","The Middle East remains on high alert for further escalation in the region, awaiting Israel's response to an Iranian missile strike on Oct 1.","",""
"1728754881-11","https://bdnews24.com/archive","Middle East
                        Israel, backed by West, 'killing innocent people': Iranian president
                                                    Published : 11 Oct 2024, 11:09 PM","https://bdnews24.com/middle-east/2e01b05baae5","","","https://cdn.bdnews24.com/bdnews24/media/english/imgAll/2024October/masoud-pezeshkian-111024-01-1728666548.jpg",""
"1728754881-12","https://bdnews24.com/archive","Middle East
                        Israel, backed by West, 'killing innocent people': Iranian president
                                                    Published : 11 Oct 2024, 11:09 PM","https://bdnews24.com/middle-east/2e01b05baae5","","","","World"
"1728754883-13","https://bdnews24.com/archive","Bangladesh
                        Yunus congratulates Nihon Hidankyo for Nobel Peace Prize win
                                                    Published : 11 Oct 2024, 11:20 PM","https://bdnews24.com/bangladesh/b34f0d1a515d","Yunus congratulates Japan’s Nihon Hidankyo for winning Nobel Peace Prize","","",""
"1728754883-14","https://bdnews24.com/archive","Bangladesh
                        Yunus congratulates Nihon Hidankyo for Nobel Peace Prize win
                                                    Published : 11 Oct 2024, 11:20 PM","https://bdnews24.com/bangladesh/b34f0d1a515d","","Chief Advisor Muhammad Yunus has congratulated Japanese organisation Nihon Hidankyo, a grassroots movement of atomic bomb survivors from Hiroshima and Nagasaki, for winning the Nobel Peace Prize.","",""
"1728754883-15","https://bdnews24.com/archive","Bangladesh
                        Yunus congratulates Nihon Hidankyo for Nobel Peace Prize win
                                                    Published : 11 Oct 2024, 11:20 PM","https://bdnews24.com/bangladesh/b34f0d1a515d","","The congratulatory message was sent from the Chief Advisor’s Office shortly after the winner of the Nobel Peace Prize was announced on Friday.","",""
"1728754883-16","https://bdnews24.com/archive","Bangladesh
                        Yunus congratulates Nihon Hidankyo for Nobel Peace Prize win
                                                    Published : 11 Oct 2024, 11:20 PM","https://bdnews24.com/bangladesh/b34f0d1a515d","","In 2006, Yunus won the Nobel Peace Prize for his contribution in alleviating poverty through the establishment of Grameen Bank and introducing the concept of microcredit.","",""
"1728754883-17","https://bdnews24.com/archive","Bangladesh
                        Yunus congratulates Nihon Hidankyo for Nobel Peace Prize win
                                                    Published : 11 Oct 2024, 11:20 PM","https://bdnews24.com/bangladesh/b34f0d1a515d","","In his message, Yunus said: “Congratulations to Nihon Hidankyo on being awarded the Nobel Peace Prize for 2024. Your unwavering commitment to nuclear disarmament and peace is an inspiration to us all. Your advocacy and tireless efforts to ensure that the horrors of Hiroshima and Nagasaki are never forgotten resonate deeply in our quest for a safer world.”","",""
"1728754883-18","https://bdnews24.com/archive","Bangladesh
                        Yunus congratulates Nihon Hidankyo for Nobel Peace Prize win
                                                    Published : 11 Oct 2024, 11:20 PM","https://bdnews24.com/bangladesh/b34f0d1a515d","","Witnesses to the only two nuclear bombs ever to be used in conflict, known in Japan as ""Hibakusha"", have dedicated their lives to the struggle for a nuclear-free world.","",""
"1728754883-19","https://bdnews24.com/archive","Bangladesh
                        Yunus congratulates Nihon Hidankyo for Nobel Peace Prize win
                                                    Published : 11 Oct 2024, 11:20 PM","https://bdnews24.com/bangladesh/b34f0d1a515d","","""Hibakusha is receiving the Peace Prize for its efforts to achieve a world free of nuclear weapons and for demonstrating through witness testimony that nuclear weapons must never be used again,"" the Norwegian Nobel Committee said in its citation.","",""
"1728754883-20","https://bdnews24.com/archive","Bangladesh
                        Yunus congratulates Nihon Hidankyo for Nobel Peace Prize win
                                                    Published : 11 Oct 2024, 11:20 PM","https://bdnews24.com/bangladesh/b34f0d1a515d","","The Nobel Peace Prize, worth 11 million Swedish crowns, or about $1 million, is due to be presented in Oslo on Dec 10, the anniversary of the death of Swedish industrialist Alfred Nobel, who founded the awards in his 1895 will.","",""
"1728754883-21","https://bdnews24.com/archive","Bangladesh
                        Yunus congratulates Nihon Hidankyo for Nobel Peace Prize win
                                                    Published : 11 Oct 2024, 11:20 PM","https://bdnews24.com/bangladesh/b34f0d1a515d","","","https://cdn.bdnews24.com/bdnews24/media/bangla/imgAll/2024August/muhammad-yunus-080824-01-1723105208.jpg",""
"1728754883-22","https://bdnews24.com/archive","Bangladesh
                        Yunus congratulates Nihon Hidankyo for Nobel Peace Prize win
                                                    Published : 11 Oct 2024, 11:20 PM","https://bdnews24.com/bangladesh/b34f0d1a515d","","","","Bangladesh"
"1728754885-23","https://bdnews24.com/archive","World
                        MSF suspends support to famine-stricken camp in Sudan's Darfur
                                                    Published : 12 Oct 2024, 12:22 AM","https://bdnews24.com/world/ce71437a328b","MSF suspends support to famine-stricken camp in Sudan's Darfur","","",""
"1728754885-24","https://bdnews24.com/archive","World
                        MSF suspends support to famine-stricken camp in Sudan's Darfur
                                                    Published : 12 Oct 2024, 12:22 AM","https://bdnews24.com/world/ce71437a328b","","Medical charity MSF says it has been forced to suspend work in the vast camp for displaced people where famine has been confirmed in Sudan's North Darfur region, putting thousands of malnourished children at risk of death.","",""
"1728754885-25","https://bdnews24.com/archive","World
                        MSF suspends support to famine-stricken camp in Sudan's Darfur
                                                    Published : 12 Oct 2024, 12:22 AM","https://bdnews24.com/world/ce71437a328b","","MSF said it had to halt activities in Zamzam camp following the obstruction of aid around nearby al-Fashir by the paramilitary Rapid Support Forces (RSF), which has been besieging the city for months, as well as the Sudanese army's systematic blocking of aid to areas outside its control.","",""
"1728754885-26","https://bdnews24.com/archive","World
                        MSF suspends support to famine-stricken camp in Sudan's Darfur
                                                    Published : 12 Oct 2024, 12:22 AM","https://bdnews24.com/world/ce71437a328b","","The army and the RSF have been locked in conflict for nearly 18 months, triggering a profound humanitarian crisis in which more than 10 million people have been driven from their homes and UN agencies have struggled to deliver relief.","",""
"1728754885-27","https://bdnews24.com/archive","World
                        MSF suspends support to famine-stricken camp in Sudan's Darfur
                                                    Published : 12 Oct 2024, 12:22 AM","https://bdnews24.com/world/ce71437a328b","","""Because of the supply blockades MSF has been forced to stop supporting Zamzam camp and leave 5,000 children who are malnourished, including 2,900 children who are severely malnourished, without support,"" MSF's Claire San Filippo told a briefing on Friday.","",""
