Title,Description,Date,Source,Imgsrc,Videosource,Post URL,Type,Language,Likecount,Priority
সৌরভ হোসেন ফাহিম's Letter Delivery Incident,"স্বাক্ষরকারী সৌরভ হোসেন ফাহিম, গত ১০ মার্চ ২০২৫, এই প্রতিষ্ঠানে সশরীরে গিয়ে সংযুক্ত চিঠিটি প্রদান করেন। প্রতিষ্ঠানটির পক্ষ থেকে তৎক্ষণাৎ ২০ হাজার টাকা অনুদান দেয়ার কথা বললে তিনি এতে রাজি হননি। আজ ১৩ মার্চ, ২০২৫ একই ব্যক্তি আরো কিছু লোকজনসহ প্রতিষ্ঠানটিতে যান এবং বড় অংকের স্পন্সরশিপ না দেয়া হলে একশন নেয়া হবে বলে হুমকি দেন, প্রতিষ্ঠানটির পক্ষ হতে এই মর্মে অভিযোগ জানানো হয়েছে।",3/12/2025,Facebook - Zulkarnain Saer,,,,Text,Bengali,6.3K,1
Comment on Shades and Clutch,Her choice of shades appalled me! Damn\nN.B. do you notice a Burberry clutch!,3/12/2025,Facebook - Zulkarnain Saer,,,,Text,English,27K,2
Talk Show Episode 7894 Announcement,"অপরাধ বাড়ছে, বাড়বে! | জুলকারনাইন সায়ের খাঁন | হাবিবুর রহমান হাবিব | Episode 7894\n#livetipsandtricks #tritiyomatra #talkshow #channelitalkshow\nতৃতীয় মাত্রা, পর্ব-৭৮৯৪, তারিখ-১৩.০৩.২০২৫\nঅতিথি বিএনপি চেয়ারপারসনের উপদেষ্টা হাবিবুর রহমান…",3/12/2025,Facebook - Zulkarnain Saer,,,,Text,Bengali,2.2k,3
Moody's Banking Outlook Downgrade,"Credit rating agency Moody's has revised its outlook for Bangladesh's banking system to negative from stable, citing mounting pressures from a slowing economy and persistently high inflation. The agency, in a report published today (12 March), warned that the operating environment for the country's banks is set to weaken as businesses grapple with falling demand and rising costs, partly driven by ongoing supply chain disruptions.\nWhy Moody's downgraded Bangladesh's banking outlook to negative from stable\nAs per Moody’s, Bangladesh will see a slower GDP growth of 4.5%, down from 5.8% in the last fiscal year",3/12/2025,Facebook - Zulkarnain Saer,,,,Text,English,1.2K,4
Hotel Incident in Lakshipur,"ছবির এই লোকটি আজ লক্ষীপুরের বিভিন্ন হোটেলে (হিন্দু হোটেল সহ) আহাররত ব্যক্তিদের হোটেল থেকে বের করে রোজা না রাখার অপরাধে কানধরে ওঠবস করান, লোকটিকে চিনে থাকলে অনুগ্রহ করে জানাবেন।\n(Includes a shareable link to the post)",3/12/2025,Facebook - Zulkarnain Saer,,,,Text,Bengali,25K,5
Railway Corruption Investigation Report,পতিত আওয়ামী লীগ সরকারের সময়ে রেলের মাফিয়া হিসাবে খ্যাত রেল খাতের অন্তত ৩০ হাজার কোটি টাকার প্রকল্প বাগিয়ে নেয়া ঠিকাদারি প্রতিষ্ঠান ম্যাক্স ইনফ্রাস্ট্রাকচারের অনিয়মের নথি খুঁজতে রেল ভবনে অভিযানে পরিচালনা করছে দুর্নীতি দমন কমিশন (দুদক)।\nগত ১১ মার্চ রেলের হাজার হাজার কোটি টাকা লোপাটের তথ্য দিয়ে ‘রেলের মাফিয়া’ শিরোনামে একটি অনুসন্ধানী সংবাদ প্রকাশ করে দৈনিক মানবজমিন।\nওই সংবাদের পরে আজ দুদক এই অভিযান পরিচালনা করেন বলে দুদকের একটি সূত্র মানবজমিনকে নিশ্চিত করেছে।\nএছাড়া সংবাদ প্রকাশের পর সোশ্যাল মিডিয়ায় বিভিন্ন গ্রুপে প্রতিবেদক জুলকারনাইন সায়ের ও শরিফ রুবেলকে নিয়ে নেতিবাচক প্রচারণা চালায় ম্যাক্সের কর্মীরা।\n[ম্যাক্সের অনিয়মের সন্ধানে দুদকের অভিযান]\n(Comment: “এই লোকের ঘনিষ্ঠজনেরা বিভিন্ন মহলে প্রচারণা চালাচ্ছেন… দেখা যাক কতটা কি হয়।”),3/12/2025,Facebook - Zulkarnain Saer,,,,Text,Bengali,7.6K,6
Casual Comment on Media Exposé,ফজাও ডাউন (এক্সপোজড) সাথে বালবালও আব তেরা কেয়া হোগা ছোটন?\n(A reply from Riaz Uddin Sagor follows: “ভাই থাক আর নুন দিয়েন না। এমনই কষ্টে আছে 😂”),3/12/2025,Facebook - Zulkarnain Saer,,,,Text,Bengali,7.6K,7
Critique on 'Nah Khela',নাহ খেলা তাহলে জমার আগেই নষ্ট হয়ে গেলো।\n(A comment from Riyadh Sarwar follows: “সার্কাজম বুঝতে না পেরে বেশিরভাগ মানুষের অর্গ্যাজম হয়ে গেলো 🐸”),3/12/2025,Facebook - Zulkarnain Saer,,,,Text,Bengali,16K,8
High Court Order on Beximco’s Firms,"দুর্বেশ জেলে বসেও তার কেরামতি দেখাচ্ছে, বাহ!\nHC cancels appointment of receiver to manage Beximco’s firms\nThe High Court has cancelled its order which had directed the Bangladesh Bank to appoint a receiver to manage 169 companies of the Beximco Group. A bench of Justice Farah Mahbub and Justice Debashish Roy Chowdhury issued the order today (12 March) along with nine other observations. Bangladesh Bank…",3/12/2025,Facebook - Zulkarnain Saer,,,,Text/Link,Bengali/English,3.1K,9
Controversial Stance on Political Propaganda,বাংলাদেশপন্থী ব্যক্তিবর্গ ও সংগঠনের মধ্যে তৈরি হওয়া বিভাজনের সুযোগ নিচ্ছে দেশবিরোধী শক্তি। তারাই শাহবাগের বিচারহীনতা ও ফ্যাসিবাদের আইকন লাকি আক্তারকে পুনর্বাসন করছে…\n(Continued with “See more” indication; followed by a comment: “লাকিকে কেউ কেন পুলিশে দেয়নি?” by Mahmud Hasan Arif),3/12/2025,Facebook - Zulkarnain Saer,,,,Text,Bengali,33K,10
