Title,URL,Timestamp,Tag
উচ্চ শিক্ষার জন্য শিক্ষার্থীর স্বপ্ন ইউরোপ | High Study,https://www.youtube.com/watch?v=Aas7A7aR-y0,119 views,BangladeshNewsChannel
আদালতে হাজির হয়ে জয় বাংলা স্লোগান দেন সোলাইমান সেলিম | Haji Selim Sons | Solaiman Salim | Court,https://www.youtube.com/watch?v=YfP80O_ke40,530 views,BangladeshNewsChannel
হারপিক নিয়ে কি ঘটে ছিলো নিঝুম মজুমদার-সাইয়েদ আবদুল্লার মধ্যে? | Sayed Abdullah | Nijhoom Majumder,https://www.youtube.com/watch?v=lpq_taq0NAI,32K views,BangladeshNewsChannel
আ’লীগ থেকে শিক্ষা নিয়ে জনগণের ভালোবাসা আর্জনে নেতাকর্মীদের আহবান,https://www.youtube.com/watch?v=9x03xavxXtA,177 views,BangladeshNewsChannel
ট্রাম্প প্রশাসনের সিদ্ধান্তে বদলে যাবে বিশ্ব রাজনীতির রূপরেখা | Donald Trump | Yunus | Netanyahu,https://www.youtube.com/watch?v=hoHOIvC1EGs,307 views,BangladeshNewsChannel
শেখ মুজিবকে জাতির পিতা বলা মূল সংবিধানের পরিপন্থী,https://www.youtube.com/watch?v=cO2s3hTKzxc,1.1K views,BangladeshNewsChannel
আ’লীগ থেকে শিক্ষা নিয়ে জনগণের ভালোবাসা আর্জনে নেতাকর্মীদের আহবান ওয়াদুদ ভূইয়ার,https://www.youtube.com/watch?v=i62Vds6PIlU,278 views,BangladeshNewsChannel
আধিপত্য বিস্তারকে কেন্দ্র করে শিবচরে প্রতিপক্ষের বোমা হামলায় আহত ৫,https://www.youtube.com/watch?v=po2NZJRbjzM,76 views,BangladeshNewsChannel
বরিশাল আদালত চত্বরে আওয়ামী লীগ নেতা কর্মীদের মিছিল | Awami League,https://www.youtube.com/watch?v=Q4CFIs2xCX8,5.8K views,BangladeshNewsChannel
হুমায়ূন আহমেদের ৭৬ তম জন্মবার্ষীকিতে যা বললেন স্ত্রী মেহের আফরোজ শাওন | Humayun Ahmed,https://www.youtube.com/watch?v=A62yznAaGX0,928 views,BangladeshNewsChannel
"ডেঙ্গুতে আটকে যাচ্ছে সাধারণ মানুষের জীবনযাত্রা, ক্যাম্পেইন করছে নানা প্রতিষ্ঠান । Dengue",https://www.youtube.com/watch?v=lign9S5D3qo,153 views,BangladeshNewsChannel
চুয়াডাঙ্গায় মোটরসাইকেলসহ এক যুবককে পু*ড়িয়ে হ*ত্যা |,https://www.youtube.com/watch?v=ymQOtrdTYkA,1.6K views,BangladeshNewsChannel
বকেয়া বেতন ও মামলা তুলে নেওয়ার দাবীতে মহাসড়ক অবরোধ করে বিক্ষোভ করছে শ্রমিকরা,https://www.youtube.com/watch?v=HLwEWn2A_8c,265 views,BangladeshNewsChannel
‘ফকিরকে ৫ টাকা দিলেও নিতে চায় না‘,https://www.youtube.com/watch?v=dxtPcJnNvxM,423 views,BangladeshNewsChannel
নিষিদ্ধ পলিথিন উৎপাদনকারী কারখানায় যৌথবাহিনীর বিশেষ অভিযান।,https://www.youtube.com/watch?v=NfLyUlqySD0,1K views,BangladeshNewsChannel
বাস ড্রাইভারের সাথে পুলিশের হাতাহাতি,https://www.youtube.com/watch?v=FsdyIqD4JY8,14K views,BangladeshNewsChannel
অভ্যুত্থানের ছোট শিশু যো*দ্ধা*কে দেখতে সমন্বয়ক সারজিস আলম।,https://www.youtube.com/watch?v=IWwnXFWQAio,3K views,BangladeshNewsChannel
বিয়ে করেও একসাথে থাকে না যে দম্পত্তিরা,https://www.youtube.com/watch?v=UlanAcmeUc4,738 views,BangladeshNewsChannel
"বিপুল পরিমাণ গাঁজা ও ইয়াবা উদ্ধার, ছাত্রলীগের ওয়ার্ড সভাপতি সহ গ্রেফতার ৪",https://www.youtube.com/watch?v=8gl4HRQXpz4,594 views,BangladeshNewsChannel
"' যতো ধর্ম-গোত্রের মানুষ দেন না কেনো, আমিতো পাবলিক বিশ্ববিদ্যালয়ের কিংবা NGO-r লোক হতে পারবো না '",https://www.youtube.com/watch?v=B7Cd6N6vqkM,50K views,BangladeshNewsChannel
জুলাই অভ্যুত্থানে ফেসবুকে ২/১ টা স্ট্যাটাস দিয়ে কিভাবে উপদেষ্টা প্যানেল এ বসলো ?,https://www.youtube.com/watch?v=q0xVx8aQGiI,654 views,BangladeshNewsChannel
বেতন ভাতার দাবীতে ঢাকা নারায়ণগঞ্জ পুরাতন সড়ক অবরোধ করে বিক্ষোভ করছেন গার্মেন্টস শ্রমিকরা,https://www.youtube.com/watch?v=eNcwXDAYkck,458 views,BangladeshNewsChannel
বরিশালে দুই শতকের সম্প্রীতির নজির দেশের বৃহৎতম জগদ্ধাত্রী পূজা,https://www.youtube.com/watch?v=UZYxATLhGKk,119 views,BangladeshNewsChannel
‘উপদেষ্টাদের স্পষ্ট করতে হবে যাদের নিয়োগ দিয়েছেন গত ১৬ বছরে তাদের অবদান কি?’,https://www.youtube.com/watch?v=4RXIsFtEdPA,787 views,BangladeshNewsChannel
শিক্ষা মন্ত্রণালয়ে বৈঠক শেষে জগন্নাথ বিশ্ববিদ্যালয়ের ছাত্র শিক্ষক প্রতিনিধিদের বক্তব্য,https://www.youtube.com/watch?v=BvuD2WUjw2g,308 views,BangladeshNewsChannel
ট্রাম্পের ফোনে অবশেষে কি বন্ধ হচ্ছে রাশিয়া-ইউক্রেন যু*দ্ধ! | Donald Trump | Vladimir Putin | USA |,https://www.youtube.com/watch?v=nYfjsF_GNAM,125K views,BangladeshNewsChannel
জবি ছাত্রলীগের বিরুদ্ধে এক অন্য রকম প্রতিবাদ করল ইসলামী ইতিহাস ও সংস্কৃতি বিভাগের শিক্ষার্থীরা,https://www.youtube.com/watch?v=cKw0ENzoWYM,1.1K views,BangladeshNewsChannel
