web-scraper-order,web-scraper-start-url,newsitem,newsitem-href,title,description,image-link-src,topic
"1728754310-1","https://bdnews24.com/business","RMG buyers sending orders to competitors amid unrest","https://bdnews24.com/business/bb092a57a39e","Western buyers diverting RMG orders to Bangladesh’s competitors as unrest disrupts production","","",""
"1728754310-2","https://bdnews24.com/business","RMG buyers sending orders to competitors amid unrest","https://bdnews24.com/business/bb092a57a39e","","Last week, the five factories of Asrotex Group, an export-focused garment manufacturing company, could only achieve 19 percent of their production target. The ongoing worker unrest is making it impossible for them to fulfil the purchase orders they have for the next three months.","",""
"1728754310-3","https://bdnews24.com/business","RMG buyers sending orders to competitors amid unrest","https://bdnews24.com/business/bb092a57a39e","","The Group’s Managing Director Asadul Islam expressed his helplessness to bdnews24.com, saying that if the situation continues like this, they may have to consider closing the factories entirely.","",""
"1728754310-4","https://bdnews24.com/business","RMG buyers sending orders to competitors amid unrest","https://bdnews24.com/business/bb092a57a39e","","“The workers aren’t listening to us. We have to follow their demands. We’ve declared a three-day layoff, yet the workers are demanding wages for those days too,” he said.","",""
"1728754310-5","https://bdnews24.com/business","RMG buyers sending orders to competitors amid unrest","https://bdnews24.com/business/bb092a57a39e","","Asadul referred to the workers' demands as ""daylight robbery"".","",""
"1728754310-6","https://bdnews24.com/business","RMG buyers sending orders to competitors amid unrest","https://bdnews24.com/business/bb092a57a39e","","Asrotex, which employs around 21,000 workers, exports garments worth $15 to $16 million every month. However, in September, the workers only worked 16 out of the 26 scheduled working days.","",""
"1728754310-7","https://bdnews24.com/business","RMG buyers sending orders to competitors amid unrest","https://bdnews24.com/business/bb092a57a39e","","He also said that they are now taking bank loans to pay the workers’ wages. ""How long will the banks keep lending us money? We’re seriously thinking about closing down the factories. If this continues, we have no other option.""","",""
"1728754310-8","https://bdnews24.com/business","RMG buyers sending orders to competitors amid unrest","https://bdnews24.com/business/bb092a57a39e","","This situation isn't limited to Asrotex alone.","",""
"1728754310-9","https://bdnews24.com/business","RMG buyers sending orders to competitors amid unrest","https://bdnews24.com/business/bb092a57a39e","","Many other large companies in the sector are facing the same fate due to worker unrest. Amid deteriorating law and order following the change in power, worker dissatisfaction, protests, strikes, and factory closures are raising serious concerns about the future of this sector, which contributes around 85 percent of the country’s export earnings.","",""
"1728754310-10","https://bdnews24.com/business","RMG buyers sending orders to competitors amid unrest","https://bdnews24.com/business/bb092a57a39e","","With production plummeting, orders shifting to neighbouring countries, revenues shrinking, and dependence on bank loans increasing, many large companies in the garment sector are now facing the risk of permanent closure.","",""
