web-scraper-order,web-scraper-start-url,economy-news,economy-news-href,title,description,image-src,date,topic
"1728749254-1","https://thefinancialexpress.com.bd/page/economy/bangladesh","CIB intensifies loan monitoring","https://thefinancialexpress.com.bd/economy/bangladesh/cib-intensifies-loan-monitoring","","Bangladesh Bank has instructed the banks to submit monthly output of every loan for ensuring proper monitoring and supervision of the advances.
The Credit Information Bureau (CIB) of the BB issued a circular on Thursday, asking the banks to submit monthly information of each loan to the credit information system (CIS) within the first 15 days of each month.
Seeking anonymity, a BB official said that with such submissions, the bureau will be able to do proper analysis of every loan like the repayment behavior of the borrowers.
""It will also help monitor each loan more rigorously. That's why it is important,"" the official said.
If the status of the loan changes like renewal, restructuring and rescheduling between two monthly submissions, the banks will upload those in the CIS counting the month of changes, said the central banker.
jubairfe1980@gmail.com","","",""
"1728749256-2","https://thefinancialexpress.com.bd/page/economy/bangladesh","Online tax return filings gather pace","https://thefinancialexpress.com.bd/economy/bangladesh/online-tax-return-filings-gather-pace","","The tax authority has so far received inspiring responses from individual taxpayers to the submission of online tax returns since re-launching the upgraded systems on September 9.
Approximately 50,000 individuals have submitted their income tax returns online using the e-Return option (www.etaxnbr.gov) until now, according to a press release issued by the National Board of Revenue (NBR) on Thursday.
Additionally, a call centre (09643717171) that the NBR launched on September 12 has been assisting the taxpayers by promptly answering their inquiries related to the submission of tax returns.
The taxpayers can also raise issues related to the online return systems through the eTaxService option available at www.etaxnbr.gov.bd.
Recently, the NBR has upgraded the e-return registration option to make it more user-friendly.
The taxpayers can now register in the e-Return portal using their biometric SIM, which they obtained through their National Identity (NID) card. They can verify whether their mobile number is biometric registered by dialling #16001#.
Furthermore, taxpayers can pay their taxes via the portal using internet banking, debit or credit cards, and mobile banking.
They will also be able to obtain a copy of their tax return, an acknowledgment slip, an income tax certificate, and a TIN certificate.
Additionally, tax returns from previous years can be downloaded and printed from the e-return website.
doulotakter11@gmail.com","","",""
"1728749258-3","https://thefinancialexpress.com.bd/page/economy/bangladesh","Core inflation record 10.5pc amid price spikes, dollar dearth","https://thefinancialexpress.com.bd/economy/bangladesh/core-inflation-record-105pc-amid-price-spikes-dollar-dearth","","Core inflation fired up over double-digit count for the first time in Bangladesh last August amid price spikes, especially as non-food prices rose significantly, officials said.
The core inflation rose to 10.57 per cent in August on a point-to-point basis from 8.66 per cent a month before, according to the central bank's latest statistics. It was 9.52 per cent in December 2022.
Currently, the Bangladesh Bank (BB) is measuring the core inflation by excluding food and fuel components from the consumer price index (CPI).
The central bank had taken a strong measure by announcing a plan for increasing the policy rate twice by October 2024 after calculating the latest core- inflation figures in its bid to cool the mercury.
Earlier on September 23 this calendar year, new BB governor Dr Ahsan H. Mansur disclosed the central bank's current inflation-combat plan at a press briefing at the BB headquarters in Dhaka.
As per announcement, the central bank raised the policy rate, also known as the repo rate, by 50 basis points to 9.50 per cent on September 25 in an effort to combat the inexorable inflation.
A policy-rate hike means banks under liquidity crunch will now have to pay more interest on loans taken from the central bank.
To manage liquidity more effectively, the BB also raised the upper limit of the policy- interest corridor. The Standing Lending Facility (SLF) rate rises to 11 per cent, up from 10.5 per cent, while the Standing Deposit Facility (SDF) floor rate moves up to 8.0 per cent from 7.5 per cent.
Talking to the FE, Mustafa K Mujeri, executive director of the Institute for Inclusive Finance and Development (InM), suggested the central bank continue its anti-inflationary drives until the inflation came under control.
""We need to further strengthen our measures to curb the inflationary pressure on the economy,"" the senior economist notes.
Mr Mujeri, also a former chief economist of the central bank, thinks it will take more time to contain inflation.
""Core inflation has a stronger relationship with the Monetary Policy Statement (MPS) than that of CPI,"" a BB senior official told the FE on Saturday while explaining the importance of the core inflation.
He also said higher costs of non-food items, particularly medicines, clothing and transportation, pushed up core inflation during the period under review.
The prime objective of computing core inflation is to separate out the components of headline inflation, officially known as general inflation, that are caused by non-monetary events as these price changes do not reflect the impact of underlying monetary-policy decisions.
""Higher depreciation of the Bangladesh Taka (BDT) against the US dollar has also contributed to rise in core inflation in Bangladesh,"" another central banker explains.
The BDT depreciated by Tk 10 to Tk 120 from Tk 110 each US dollar from May to August this year, he notes.
The central banker, however, hopes the situation is improving gradually as the pressure on the country's foreign-exchange market is easing because of higher inflow of remittances and lower import- payment obligations.
""We expect that the core inflation along with the CPI will ease further in the coming months as the central bank is working on the issue seriously,"" the central banker says.
Bangladesh's inflation as measured by consumer price index eased further to 9.92 per cent in the month of September on the point-to-point basis mainly due to lower prices of both food and non-food items.
The inflation dropped 58 basis points to 9.92 per cent in September this calendar year from 10.49 per cent a month before. It was 9.72 per cent in June 2024, according to the Bangladesh Bureau of Statistics (BBS)'s latest data.
siddique.islam@gmail.com","","",""
"1728749261-4","https://thefinancialexpress.com.bd/page/economy/bangladesh","Eastern region suffers Tk 144.21 billion damage due to floods: CPD","https://thefinancialexpress.com.bd/economy/bangladesh/eastern-region-suffers-tk-14421-billion-damage-due-to-floods-cpd","","The eastern region of Bangladesh has suffered a loss of around Tk 144.21 billion due to recent floods, according to a study by the Centre for Policy Dialogue (CPD).
The local think tank disclosed the information at a press briefing at its office in Dhaka on Sunday on aftermath and rehabilitation after floods in the eastern region, including in Cumilla, Feni, Noakhali and Lakshmipur districts.
While presenting the data, CPD’s Executive Director Dr Fahmida Khatun said their assessment focused on Sylhet, Moulvibazar, Habiganj, Feni, Khagrachhari, Cox's Bazar, Cumilla, Noakhali, Chattogram, Lakshmipur, and Brahmanbaria districts.
The floods most severely affected the agriculture and forestry sectors in the districts, she said.
The CPD’s executive director mentioned that Noakhali was the worst sufferer with the highest monetary losses as a district in the region. The district incurred a loss of around Tk 41.91 billion while Cumilla suffered Tk 33.90 billion in damage.","","",""
"1728749264-5","https://thefinancialexpress.com.bd/page/economy/bangladesh","NGOs seek recognition of their contributions to development: Dr Debapriya","https://thefinancialexpress.com.bd/economy/bangladesh/ngos-seek-recognition-of-their-contributions-to-development-dr-debapriya","","Dr Debapriya Bhattacharya, the chief of the committee on drafting a white paper committee on Bangladesh economy, on Monday said the non-governmental organizations (NGOs) want recognition of their contributions to the development of the country.
The NGO representatives sought the recognition at a meeting with the white paper committee at NEC Conference Room in the city’s Sher-e-Bangla Nagar area, BSS reports. 
Representatives from local and international development organizations participated in the meeting. “They (NGOs representatives) think the issue of recognition of the non-government development organizations to development needs to be considered with importance,” said Dr Bhattacharya at a press briefing after the meeting.
Raising the views of the NGO representatives, he said although the non-government development organizations have a big role in the government’s various previous and present initiatives, but they have no proper representation locally or nationally in the initiatives.
Since the condition of the people is now getting more miserable due to high inflation and other reasons, they think that the government support and its policy coordination are required to strengthen the role of non-government development partners to address the problems, he added.
Dr Debapriya, also a distinguished fellow at the Centre for Policy Dialogue (CPD), said NGOs want removal of institutional barriers, corruption for their activities as they are of the view that various institutional barriers and corruption in the government’s concerned institutions are among the biggest obstacles, which stand in the way to properly run the activities of the non-government development organizations.
The institutional barriers are intentional in many cases and the government policies and regulations become barriers in some cases, he added.
At that time, they also mentioned the specific names of the concerned institutions that oversee the non-governmental organizations, district administration and law enforcement agencies are among these organizations, he said.
The NGO leaders suggested ensuring proper government management and freeing the institutions from corruption, said the white paper committee chief, adding that the participants also questioned the role of Bangladeshi missions abroad.
Answering a question, Dr Debapriya said the meeting discussed that corruption takes place when a non-government development organization goes to get registration, renews its registration certificate and gets its projects approved by the institutions concerned.
More than one restrictive measure has been imposed recently against the non-government development organisations to limit their activities and role to raise voice in favour of the people, said Dr Debapriya, also the convener of the Citizen's Platform for SDGs. 
The meeting also discussed corruption in the digital disbursement of micro-credits as well as health, education and other allowances, he said.
Earlier in August, the interim government formed a 12-member committee, led by Dr Debapriya Bhattacharya, to prepare a comprehensive ‘white paper’ on the state of Bangladesh's economy.","","",""
"1728749266-6","https://thefinancialexpress.com.bd/page/economy/bangladesh","Govt raises cost of deep-sea port by over Tk 65b","https://thefinancialexpress.com.bd/economy/bangladesh/govt-raises-cost-of-deep-sea-port-by-over-tk-65b","","The interim government has increased the duration of the Matarbari deep-sea port project in Cox’s Bazar’s Maheshkhali by three years and the cost by Tk 65.73 billion, a rise of about 37 per cent.
The expenditure of upgrading the four-lane Hatikamrul-Rangpur highway from Tangail’s Elenga has also been raised by the Executive Committee of the National Economic Council, or ECNEC, at its meeting on Monday.
The spending of the deep-sea port project was initially estimated at Tk 177 billion during the Awami League government, along with its term until Dec 31, 2026
In the first amendment, the cost of the project was slightly increased to Tk 178 billion.
The expense of the revised project in the second phase stood at Tk 243.81 billion, reports bdnews24.com.
Without explaining the reason for the increase in expenditure by more than a third, Planning Advisor Wahiduddin Mahmud said the cause for the increase is ‘technical and he is not fully ‘aware’ of it.""
The Japan International Cooperation Agency, or JICA, would provide the additional amount to the interim administration as a loan, he said.
The period of the country's first and only deep-sea port project has also been extended by three years until December 2029.
A total of four projects were approved at the second ECNEC meeting of the interim government. The cost of two revised projects among them has been increased. The rest of the two projects are new.
At a briefing after the meeting, the planning advisor said it could be the only ‘major infrastructure project’ of the transitional government.
""Since a jetty has been built in Matarbari, we have considered the project of building a deep-sea port there. It's a big project with a lot of geopolitical significance and who is implementing it is also a big issue.""
Highlighting the importance of the project, Mahmud said: ""We all know that we need a deep-sea port. Chattogram and Payra ports do not have that capacity. When Bangladesh's trade will expand further, the spending will be much higher if we don't have a deep-sea port.
“We dared to approve this because there was a lot of tension about whether China would implement it or India, but nothing was finalised for a long time.""
""Japan gives loans on very easy terms. The Japanese projects are probably the only projects that... [to some extent, South Korea also] completed on time at the right cost. Such as metro rail's MRT Line-5 and third terminal at Dhaka airport.""
COST OF SECOND PROJECT ALSO RISES
A total of four projects – two revised and two new – were presented at the meeting.
The second revised project is the four-lane upgradation of the Elenga-Hatikamrul-Rangpur highway under the South Asia Subregional Economic Cooperation, or SASEC, Road Link Project-2.
The cost of the project has been increased to Tk 3.76 billion.
ECNEC has also increased the spending on the four-lane highway project from Tangail’s Elenga to Rangpur on the northern route by about Tk 3.67 billion.
The Awami League government had initiated the project at Tk 118.99 billion. Later, the expenditure was increased to Tk 186.79 billion in two phases.
After a raise by the interim government, the new expenditure will stand at Tk 190.65 billion.
Stating that the duration of seven more projects has also been extended without increasing the cost, the advisor said: “The current projects are being revised. That is taking time.
""Private sector investment is low, if projects get slow, the flow of money will not increase. To raise it, the work of the previous project must be moved forward and some new projects should be in.""
KALURGHAT BRIDGE AT A COST OF TK 115 BILLION
As a new project, a ‘rail-cum-road’ bridge over the Karnaphuli River in Chattogram’s Kalurghat has been taken up at a cost of Tk 115 billion.
The Resilient Urban and Territorial Development Project has also been approved to 'decentralise the capital and reduce traffic congestion' by increasing civic facilities in city corporations and municipalities outside Dhaka. The cost has been estimated at Tk 59.01 billion.
A policy will be made to implement the projects so that ""no government can make a change at its will,"" the advisor said.","","",""
"1728749268-7","https://thefinancialexpress.com.bd/page/economy/bangladesh","Cruel mischief over past several years causes sorry state of Islamic banking","https://thefinancialexpress.com.bd/economy/bangladesh/cruel-mischief-over-past-several-years-causes-sorry-state-of-islamic-banking","","The Islamic banking (IB) and financial institutions sector in Bangladesh witnessed a cruel mischief over the past several years, causing its present sorry state.
Islamic banks, which once remained in a strong position in the country, have now landed in a worse situation due to such vicious acts, former Managing Director (MD) of Islami Bank Bangladesh PLC Mohammad Abdul Mannan observed on Tuesday.
""Such mischief, such a ruthless culture of malpractice to destroy the country's Islamic banking sector has never taken place in world history,"" he told a workshop.

He was addressing as a panellist of a research workshop on 'Pricing of Islamic Banking Products in a Dual Banking Environment of Bangladesh', organised by the Bangladesh Institute of Bank Management (BIBM) at its conference centre in the city on Tuesday.
Comparing the wilful attack on Buddhist civilization in the subcontinent, Mr Mannan said the country's Islamic banking had been similarly attacked in the last several years.
The top banker, who is now Chairman of Board of Directors of the First Security Islami Bank, had been forced to resign from the MD position of the then IBBL at gunpoint in 2017 before S Alam Group took over the control of the bank, the largest Shariah-based bank in the country.
Before January 2017, the excess liquidity of the IBBL was over Tk 250 billion, he said, indicating the bank's then strong position.
Highlighting on the inner strength of Islamic Banking, he said that it is high time the sector turned around for which events like research workshops could help a great deal.
Bangladesh Bank (BB) Deputy Governor and Chairman of BIBM Executive Committee Nurun Nahar inaugurated the workshop as chief guest, joining virtually.
BIBM Director General Dr Md Akhtaruzzaman chaired the programme while Managing Director & CEO of Shahjalal Islami Bank Mosleh Uddin Ahmed, and Shariah-based banking expert Dr Md Anwar Hosain Molla were present as panellists.
Addressing the participants, Ms Nahar expressed hope that the Islamic banking sector would turn around soon from the current sorry state.
Referring to the success of such a banking sector, she said that yet many developed countries have been following the model of Islamic banks in Bangladesh.
Highlighting on challenges, Mr Anwar Hosain Molla said Islamic banking officials have to work in an internal dual environment inside a conventional bank, in addition to the dual market situation.
'Niat' or intention is important for introducing IB, he said, adding: ""However, some banks have introduced Islamic banking only to attract or retain customers.""
Although 30 per cent of the banking sector is Shariah-based, the central bank's circulars are solely focused on conventional banking, he said and called for separate circulars on the same issue.
Mr Mosleh Uddin Ahmed said unless every rule and guidelines are prepared by the regulator, Islamic banking cannot flourish in full swing. Even after 42 years of IB activities in the country, a full-fledged shariah banking guideline has not been prepared, he added.
Currently, many common people believe that the IB is a fraud, he said, suggesting an external Shariah-based organisation to audit a bank to ensure Shariah there.
BIBM Associate Professor Dr. Md. Mahabbat Hossain presented a draft research report which was co-authored by BIBM Associate Professor Md. Alamgir, Bangladesh Bank Director (Statistics) Dr. Muhammad Amir Hossain and a researcher at INCEIF University of Malaysia Mezbah Uddin Ahmed.
According to the draft research, the dual obligation of Islamic banks and financial institutions to Shariah and regulatory authorities introduce complexity into their pricing models and operational strategies.
The report is expected to be finalised incorporating suggestions and other inputs from the participants.
saif.febd@gmail.com","","",""
"1728749271-8","https://thefinancialexpress.com.bd/page/economy/bangladesh","Inflation edges down 1.0pc, price respite awaited","https://thefinancialexpress.com.bd/economy/bangladesh/inflation-edges-down-10pc-price-respite-awaited","","Inflation has already edged down 1.0 per cent following fiscal interventions and a respite from price rises is awaited, Finance Adviser Dr Salehuddin Ahmed said Wednesday and urged all to have patience to get the assured consumer relief.
""We could keep inflation rate at steady level to some extent. Taming inflation will take time. Some sort of relief will come,"" he told reporters.
The adviser was briefing newsmen after a meeting of the Advisory Council Committee on Government Purchase at Bangladesh secretariat in the capital.
He mentioned some measures taken by the current interim government to bring down commodity prices. ""We have lessened duty on onion and potato. Today we lowered import duty on sugar.""
Mr Ahmed, also adviser for the ministry of commerce, said there would be no scarcity of essential commodities on the market.
""Today approval has been given to buy lentils, liquefied natural gas, and fertiliser. You will get relief,"" he assured.
Replying to a query as to how much time needed to tame the wayward inflation, the adviser urged all not to get impatient. ""This is a very complex issue. Don't assume that inflation rose all of a sudden. Many factors are behind this.""
He enumerates the factors: ""There is market factor, market-monitoring factor, production, and marketing factor. New people have replaced the old ones, in some cases, with such nature remaining almost the same,"" Mr Ahmed said.
Replying to another question, the adviser said extortion got reduced but there are also matters relating to the law-and-order situation.
According to official data released by the Bangladesh Bureau of Statistics (BBS), the point-to-point inflation declined to 9.92 per cent in September from 10.49 per cent in August last.
Commodity prices have shot up in the recent weeks, especially after floods in different parts of the country destroyed their production, mounting the misery of poor and middle-income group of people.
The prices of kitchen items have gone beyond the purchasing capacity of common people due to production fall and supply shortage amid floods. Egg prices also shot up significantly with each dozen selling at around Tk 180 in the market.
Meantime, the purchase-committee meeting approved a proposal to import one-cargo LNG from M/S Gunvor Singapore Pte Ltd, Singapore, at a cost of Tk 6.57 billion. Each unit of the liquefied natural gas will cost $13.93.
The meeting also approved for the Bangladesh Agricultural Development Corporation (BADC) to buy 30,000 tonnes of TSP fertiliser from OCP, SA, Morocco, at a cost of Tk 1.49 billion with each tonne of fertiliser costing $415.
Under another approval, Bangladesh Chemical Industries Corporation (BCIC) will import 30,000 tonnes of bulk granular urea fertiliser from SABIC Agri Nutrients Company, Saudi Arabia, for Tk 1.28 billion where each tonne will cost $356.17.
Also, BCIC is given the go-ahead to buy 30,000 tonnes of bagged granular urea fertiliser from KAFCO, Bangladesh at a cost of Tk 1.23 billion with each tonne of fertiliser costing $343.37.
Moreover, the committee gave approval for the buy of 10,000 tonnes of lentils for the Trading Corporation of Bangladesh from a Chattogram-based supplier at a total cost of Tk 963 million, each kilogram costing Tk 96.39.
syful-islam@outlook.com","","",""
"1728749273-9","https://thefinancialexpress.com.bd/page/economy/bangladesh","Slow deposit growth in shariah banks","https://thefinancialexpress.com.bd/economy/bangladesh/slow-deposit-growth-in-shariah-banks","","The flow of deposits in shariah-based banking operations fell slightly while investment marked a steady rise in July as Bangladesh saw the build-up of a mass uprising that led to the fall of the Sheikh Hasina regime.
When it comes to wage earners' remittance and assets, unconventional banks have kept losing their share in recent months as it has become a matter of concern, particularly to a section of Islamic bankers.
According to Islamic banking-related statistics of the Bangladesh Bank (BB), the country's central bank, the entire volume of deposits in Islamic banking operations dropped by Tk 30.14 billion to stand at Tk 4.73 trillion until July from the June count of Tk 4.40 trillion.
But the total Islamic banking investment volume reached a record high in July, amounting to Tk 5.15 trillion, up by Tk 11.01 billion from Tk 5.13 trillion in the previous month of June, disclosed the data.
The continuous fall of share was also observed in remittance earnings, considered one of the main strengths of such banking operations.
Islamic banking bagged more than 51.57 per cent of the country's overall remittance earnings even in December 2023.
Since then, shariah-based banking operations have kept losing their share with the fall of their remittance share to 41.46 per in February and 39.96 per cent in March.
Now, the share of the banks dropped further to 34.97 per cent in July 2024, according to the BB data.
The assets holding of the Islamic banks in the industry also plummeted to 18.95 per cent in July from 19.32 per cent recorded in its previous month.
Seeking anonymity, a BB official said there were a number of media reports regarding large-scale loan-related irregularities in these unconventional banks, which might shatter people's confidence.
""These could be a reason behind such a fall in market share,"" the central banker said.
An Islamic bank's managing director, who preferred not to be quoted by name, said savers started diverting their funds into conventional banks despite their multiple steps to convince them.
As a matter of fact, the growth of deposits in such banks has slowed down in recent times, which is probably reflected in the data.
The contribution of the shariah-based banks in terms of receiving remittance was huge even a few months ago, but it has dropped remarkably in recent times, he said.
""And it is a matter of serious concern for us. But we're trying our best to improve the situation,"" added the banker.
Deputy managing director (DMD) and chief financial officer (CFO) of Al-Arafah Islamic Bank Muhammod Nadim said the country witnessed a build-up to the uprising in July that severely disrupted banking operations across the country.
""This could be a major reason behind the fall in the deposit collection by the Islamic banks in July. But our bank managed to maintain deposit growth in that month,"" he said.
Regarding a fall in remittance, Mr Nadim said exchange houses have been selling dollars through bidding in recent months. Under the mechanism, those who bid higher rates get the greenback.
""This is one of the reasons behind the remittance drop,"" he added.
jubairfe1980@gmail.com","","",""
"1728749275-10","https://thefinancialexpress.com.bd/page/economy/bangladesh","NBR gets advisory panel for reforms","https://thefinancialexpress.com.bd/economy/bangladesh/nbr-gets-advisory-panel-for-reforms","","The Internal Resources Division (IRD) on Wednesday formed a five-member advisory committee to bring positive reforms in the National Board of Revenue (NBR).
The advisory committee would recommend revenue policy, administration reform, evaluate organisational capacity of NBR and recommend its modernisation.
It would also give advice on integrity and good governance, organisational structure and policy framework, citizens' communication and stakeholders' activities and policy support for other revenue reform activities.
The advisory committee members include two former chairmen of NBR Dr Muhammad Abdul Mazid and Dr Nasiruddin Ahmed, former income tax members Md Delwar Hossain and Aminur Rahman, former Customs member Farid Uddin.
Member (board administration) of NBR would provide secretarial support to the committee.
The NBR has formed the body with the approval of the Finance Adviser for the interim government.
doulotakter11@gmail.com","","",""
