web-scraper-order,web-scraper-start-url,news-selector,news-selector-href,title,description,images-src
1728738774-1,https://www.prothomalo.com/entertainment,নাটক গেল দর্শকের কাছে,https://www.prothomalo.com/entertainment/drama/oviaxhtxyg,নাটক গেল দর্শকের কাছে,,
1728738774-2,https://www.prothomalo.com/entertainment,নাটক গেল দর্শকের কাছে,https://www.prothomalo.com/entertainment/drama/oviaxhtxyg,,"ঢাকার মঞ্চে এসেছে আরেকটি নতুন নাটক। গত শুক্রবার ও গতকাল শনিবার দর্শক দেখেছেন প্রচণ্ড কালেকটিভ-এর প্রথম প্রযোজনা ‘প্রায় তিন/চারজন’। নামের মতোই পরিবেশনাসহ নানা দিক থেকে এটি ছিল ব্যতিক্রমী এক উদ্যোগ। যেখানে দর্শক নাটকের কাছে না, বরং নাটকই গেছে দর্শকের কাছে। আয়োজকেরা বলছেন, নাটকটি গণমানুষের নাটক, গণমানুষের টাকায় করা। নাটকটি লিখেছেন জাহিদ সোহাগ, পরিচালনা করেছেন সরওয়ার জাহান।",
1728738774-3,https://www.prothomalo.com/entertainment,নাটক গেল দর্শকের কাছে,https://www.prothomalo.com/entertainment/drama/oviaxhtxyg,,"২৭ ও ২৮ সেপ্টেম্বর সোহরাওয়ার্দী উদ্যানের মুক্তমঞ্চে ‘প্রায় তিন/চারজন’ নাটকের মোট চারটি প্রদর্শনী হয়। ৪৫ মিনিটের এ নাটক দেখতে আক্ষরিক অর্থেই উপচে পড়া ভিড় ছিল। টিকিটের মূল্য হিসেবে ১০ টাকার ঊর্ধ্বে যা ইচ্ছা, এমনটাই ছিল প্রচণ্ড কালেকটিভের ঘোষণা।",
1728738774-4,https://www.prothomalo.com/entertainment,নাটক গেল দর্শকের কাছে,https://www.prothomalo.com/entertainment/drama/oviaxhtxyg,,"দর্শকও সাধ্যমতো অর্থ দিয়ে স্বতঃস্ফূর্তভাবে মুক্তমঞ্চে নাটক দেখেছেন। তবে এমন না যে টিকিট কাটা বাধ্যতামূলক ছিল, বিনা মূল্যেও দেখেছেন বহু লোক। অর্থাৎ সব মিলে গণমানুষের জন্য মুক্ত ছিল নাটকের মঞ্চায়ন।",
1728738774-5,https://www.prothomalo.com/entertainment,নাটক গেল দর্শকের কাছে,https://www.prothomalo.com/entertainment/drama/oviaxhtxyg,,"নাটকের উৎসর্গের বিষয়টিও দর্শকের মধ্যে সাড়া ফেলেছে। প্রদর্শনীর আগে দলের সদস্য সায়রাত সালেকিনের ঘোষণা ছিল এমন, ‘আমাদের এই নাটকটি উৎসর্গ করা হয়েছে জুলাই হত্যাকাণ্ডের প্রতিটা শহীদকে; গত ১৫–১৬ বছর ধরে গুম হয়ে যাওয়া সবাইকে ও তাঁদের পরিবারের সেই সব হারানোর বিভ্রাট ছাড়াও আমাদের জীবনের সব নাম না জানা অনিশ্চয়তা-শূন্যতা ও হাহাকারকে।’ সোহরাওয়ার্দী উদ্যানের মুক্তমঞ্চে হলেও দুই দিনের চার প্রদর্শনীতে বৈচিত্র্যপূর্ণ দর্শকের উপস্থিতি ছিল। শিক্ষার্থী যেমন ছিলেন, তেমনি ছিলেন চল্লিশোর্ধ্ব চাকরিজীবী। নাটক দেখতে এসেছিলেন একেবারেই শ্রমজীবী মানুষও।",
1728738774-6,https://www.prothomalo.com/entertainment,নাটক গেল দর্শকের কাছে,https://www.prothomalo.com/entertainment/drama/oviaxhtxyg,,"সায়রাত সালেকিন বলেন, ‘আমরা দর্শকের বিচিত্র প্রতিক্রিয়া পেয়েছি। সেগুলো আমাদের টিমের সদস্যরা সংগ্রহ করছেন।’",
1728738774-7,https://www.prothomalo.com/entertainment,নাটক গেল দর্শকের কাছে,https://www.prothomalo.com/entertainment/drama/oviaxhtxyg,,"বছরখানেক আগে লেখা হলেও দেখতে দেখতে এক পর্যায়ে মনে হয়েছে, এই জুলাই কিংবা আগস্ট মাসেই বুঝি নাটকটির জন্ম। কখনো রূপকে, কখনো বিদ্রূপাত্মক ভঙ্গিতে নাটকে এসেছে নানা ঘটনা, মুহূর্ত। উঠে এসেছে রাষ্ট্রীয় গুম-খুন-শোষণ-নিপীড়ন, সহিংসতা, আপনজন হারানো, আপনজনদের জীবিত ফিরে পাওয়ার বিরামহীন আকুতি।",
1728738774-8,https://www.prothomalo.com/entertainment,নাটক গেল দর্শকের কাছে,https://www.prothomalo.com/entertainment/drama/oviaxhtxyg,,"নাটকের নামটাও এমন অনির্দিষ্ট কেন, জানতে চেয়েছি নাট্যকারের কাছে। তাঁর ভাষ্য, ‘বিভিন্ন ঘটনার নানা পক্ষ থাকে। নিখোঁজ বা গুম, মৃত্যু, আহতের সংখ্যা একেক পক্ষ একেক রকম তথ্য দেয়। আমাদের নাটকেও এসব নিয়ে ভিন্নভাবে বলা হয়েছে। এ বিবেচনায় নামটি দিয়েছি “প্রায় তিন/চারজন”, মানে সংখ্যাটি চূড়ান্ত বা সঠিক নয়।’
মঞ্চনাটককে শিল্পকলা বা চারদেয়ালের বাইরে নিয়ে যেতে চাচ্ছে প্রচণ্ড কালেকটিভ। এ কারণে মিলনায়তনের মঞ্চ উপযোগী হলেও নাটকটি মঞ্চায়নের জন্য উন্মুক্ত স্থানকেই বেছে নিয়েছে নতুন এই দল। তারা বলছে, আলোচনা ও সমালোচনার দ্বার সবার জন্যই উন্মুক্ত, দর্শক আসুক। নাটকটা দেখুক।",
1728738774-9,https://www.prothomalo.com/entertainment,নাটক গেল দর্শকের কাছে,https://www.prothomalo.com/entertainment/drama/oviaxhtxyg,,,https://images.prothomalo.com/prothomalo-bangla%2F2024-09-28%2Fsusyx04s%2F01-2.jpg?rect=295%2C0%2C3266%2C2177&auto=format%2Ccompress&fmt=webp&format=webp&w=640&dpr=1.0
1728738777-10,https://www.prothomalo.com/entertainment,"মীনা, রাজু, মিঠুরা কে কোথায়",https://www.prothomalo.com/entertainment/tv/yp2j25582t,"মীনা, রাজু, মিঠুরা কে কোথায়",,
