web-scraper-order,web-scraper-start-url,newsitem,newsitem-href,title,description,image-link-src,topic
"1728754539-1","https://bdnews24.com/entertainment","Pharrell's animated biopic populated by LEGOs","https://bdnews24.com/entertainment/556de2e56689","TIFF 2024: Pharrell's animated biopic populated by LEGOs","","",""
"1728754539-2","https://bdnews24.com/entertainment","Pharrell's animated biopic populated by LEGOs","https://bdnews24.com/entertainment/556de2e56689","","The flesh-and-blood Pharrell Williams walked the red carpet on Tuesday with the star of his new animated biopic – a Pharrell Williams made of LEGO blocks – as ""Piece by Piece"" made its international premiere in Toronto.","",""
"1728754539-3","https://bdnews24.com/entertainment","Pharrell's animated biopic populated by LEGOs","https://bdnews24.com/entertainment/556de2e56689","","The animated feature, voiced by Pharrell and fellow pop stars Gwen Stefani, Kendrick Lamar and Jay-Z, takes the audience on an unconventional journey through the musical virtuoso's upbringing and vibrant career by casting LEGO pieces as the characters in his life story.","",""
"1728754539-4","https://bdnews24.com/entertainment","Pharrell's animated biopic populated by LEGOs","https://bdnews24.com/entertainment/556de2e56689","","Pharrell, a renowned recording artist, producer and songwriter, said LEGO characters, a favourite of children around the world, gave the picture a global appeal and enabled the film to sidestep cliches in telling his story.","",""
"1728754539-5","https://bdnews24.com/entertainment","Pharrell's animated biopic populated by LEGOs","https://bdnews24.com/entertainment/556de2e56689","","""LEGO really helps to universalise the story so that it can be received by anyone that comes from a marginalised community,” Pharrell, who has won 13 Grammy Awards, including three for Producer of the Year, said on the red carpet at the Toronto International Film Festival.","",""
"1728754539-6","https://bdnews24.com/entertainment","Pharrell's animated biopic populated by LEGOs","https://bdnews24.com/entertainment/556de2e56689","","“I didn't want to tell a story that's like poverty porn. That's a usual Hollywood trope and that's not what this is.""","",""
"1728754539-7","https://bdnews24.com/entertainment","Pharrell's animated biopic populated by LEGOs","https://bdnews24.com/entertainment/556de2e56689","","Singer and producer Pharell Williams speaks with a reporter before ""Piece by Piece"" is screened as the Toronto International Film Festival (TIFF) returns for its 49th edition in Toronto, Ontario, Canada Sept 10, 2024 in a still image from video. Reuters/Dennis Porter","",""
"1728754539-8","https://bdnews24.com/entertainment","Pharrell's animated biopic populated by LEGOs","https://bdnews24.com/entertainment/556de2e56689","","Singer and producer Pharell Williams speaks with a reporter before ""Piece by Piece"" is screened as the Toronto International Film Festival (TIFF) returns for its 49th edition in Toronto, Ontario, Canada Sept 10, 2024 in a still image from video. Reuters/Dennis Porter","",""
"1728754539-9","https://bdnews24.com/entertainment","Pharrell's animated biopic populated by LEGOs","https://bdnews24.com/entertainment/556de2e56689","","Director Morgan Neville said one of the reasons he tackled the project was his long-standing interest in music producers, who he said often have a larger vision.","",""
"1728754539-10","https://bdnews24.com/entertainment","Pharrell's animated biopic populated by LEGOs","https://bdnews24.com/entertainment/556de2e56689","","""Pharrell is famous for seeing the world a little differently and approaching music differently,” Neville said on the red carpet.","",""
"1728754539-11","https://bdnews24.com/entertainment","Pharrell's animated biopic populated by LEGOs","https://bdnews24.com/entertainment/556de2e56689","","The film was not the first Neville focused on musical artists. His credits include the 2015 Keith Richards documentary and 2023’s “Bono & The Edge: A Sort of Homecoming with Dave Letterman.”","",""
"1728754539-12","https://bdnews24.com/entertainment","Pharrell's animated biopic populated by LEGOs","https://bdnews24.com/entertainment/556de2e56689","","Neville said animation was an ideal media to tell the story of Pharrell's life.","",""
"1728754539-13","https://bdnews24.com/entertainment","Pharrell's animated biopic populated by LEGOs","https://bdnews24.com/entertainment/556de2e56689","","""Pharrell has synaesthesia, which means when he hears music, he sees colour,"" the director said. ""The idea that ... you could actually see the colour and make all this stuff come alive and taking the beats he was writing and turn them into physical objects.""","",""
"1728754539-14","https://bdnews24.com/entertainment","Pharrell's animated biopic populated by LEGOs","https://bdnews24.com/entertainment/556de2e56689","","Pharrell wrote an original song for the film, also titled “Piece by Piece,” about building a dream from the ground up.","",""
"1728754539-15","https://bdnews24.com/entertainment","Pharrell's animated biopic populated by LEGOs","https://bdnews24.com/entertainment/556de2e56689","","He told Reuters the diversification of the LEGO characters was part of his dream.","",""
"1728754539-16","https://bdnews24.com/entertainment","Pharrell's animated biopic populated by LEGOs","https://bdnews24.com/entertainment/556de2e56689","","“There's all kinds of people on this planet,"" he said. ""All of this continues to be a gift,” he said.","",""
"1728754539-17","https://bdnews24.com/entertainment","Pharrell's animated biopic populated by LEGOs","https://bdnews24.com/entertainment/556de2e56689","","","https://cdn.bdnews24.com/bdnews24/media/english/imgAll/2024September/pharrell-11092024-01-1726064212.jpg",""
"1728754539-18","https://bdnews24.com/entertainment","Pharrell's animated biopic populated by LEGOs","https://bdnews24.com/entertainment/556de2e56689","","","","Entertainment"
"1728754541-19","https://bdnews24.com/entertainment","‘Shogun’, ‘The Bear’ favourites for Emmys","https://bdnews24.com/entertainment/fa48bf439eb2","'Shogun' leads Emmys drama race, 'The Bear' seeks comedy repeat","","",""
"1728754541-20","https://bdnews24.com/entertainment","‘Shogun’, ‘The Bear’ favourites for Emmys","https://bdnews24.com/entertainment/fa48bf439eb2","","Which series will succeed three-time winner ""Succession"" as television's best drama? Emmy voters will reveal their selection on Sunday at a red-carpet ceremony where historical epic ""Shogun"" enters as the favourite.","",""
"1728754541-21","https://bdnews24.com/entertainment","‘Shogun’, ‘The Bear’ favourites for Emmys","https://bdnews24.com/entertainment/fa48bf439eb2","","The story set in feudal Japan already has collected a record number of Emmys for a single season of a television series. ""Shogun"" picked up 14 trophies at the Creative Arts Emmys, a precursor event that recognises guest actors and crafts such as cinematography and production design.","",""
"1728754541-22","https://bdnews24.com/entertainment","‘Shogun’, ‘The Bear’ favourites for Emmys","https://bdnews24.com/entertainment/fa48bf439eb2","","In the comedy race, tension-filled Chicago restaurant tale ""The Bear"" is poised to grab its second straight series honour. It scored 23 nominations, the most for a comedy in a single year.","",""
"1728754541-23","https://bdnews24.com/entertainment","‘Shogun’, ‘The Bear’ favourites for Emmys","https://bdnews24.com/entertainment/fa48bf439eb2","","Both shows debuted on the FX cable network, setting up a big night for owner Walt Disney, which will broadcast the downtown Los Angeles awards show live on ABC.","",""
"1728754541-24","https://bdnews24.com/entertainment","‘Shogun’, ‘The Bear’ favourites for Emmys","https://bdnews24.com/entertainment/fa48bf439eb2","","""Schitt's Creek"" father-son duo Eugene and Dan Levy will host the ceremony, just eight months after the last Emmys. The 2023 honours were handed out in January 2024 because of strikes by Hollywood writers and actors.","",""
"1728754541-25","https://bdnews24.com/entertainment","‘Shogun’, ‘The Bear’ favourites for Emmys","https://bdnews24.com/entertainment/fa48bf439eb2","","With the Roy family saga ""Succession"" concluded, Sunday will bring a new winner of best drama, the night's top award.","",""
"1728754541-26","https://bdnews24.com/entertainment","‘Shogun’, ‘The Bear’ favourites for Emmys","https://bdnews24.com/entertainment/fa48bf439eb2","","""Shogun,"" adapted from a novel by James Clavell, is the clear favourite. The show, in both English and Japanese, earned praise for its lavish sets and costumes, and the telling of the story from the Japanese characters' viewpoints. A 1980s ""Shogun"" miniseries centred around an English sailor who was shipwrecked in Japan.","",""
"1728754541-27","https://bdnews24.com/entertainment","‘Shogun’, ‘The Bear’ favourites for Emmys","https://bdnews24.com/entertainment/fa48bf439eb2","","Stars Hiroyuki Sanada and Anna Sawai are in the running for top acting honours.","",""
"1728754541-28","https://bdnews24.com/entertainment","‘Shogun’, ‘The Bear’ favourites for Emmys","https://bdnews24.com/entertainment/fa48bf439eb2","","""Shogun is a huge undertaking, a sweeping epic that took years and years to make,"" said Clayton Davis, senior awards editor at Hollywood publication Variety. ""It'll be a huge night for that.""","",""
"1728754541-29","https://bdnews24.com/entertainment","‘Shogun’, ‘The Bear’ favourites for Emmys","https://bdnews24.com/entertainment/fa48bf439eb2","","Competing with ""Shogun"" is the final season of ""The Crown,"" Netflix's NFLX.O drama about the British royal family.","",""
"1728754541-30","https://bdnews24.com/entertainment","‘Shogun’, ‘The Bear’ favourites for Emmys","https://bdnews24.com/entertainment/fa48bf439eb2","","Elizabeth Debicki is seen as the frontrunner for supporting drama actress for her portrayal of Princess Diana in the days before her death.","",""
