web-scraper-order,web-scraper-start-url,news-selector,news-selector-href,title,date,description
"1728738427-1","https://www.prothomalo.com/politics","চট্টগ্রাম বন্দর পরিচালনার দায়িত্ব বিদেশিদের হাতে দিলে প্রতিরোধ: বাংলাদেশ এলডিপির মহাসচিব","https://www.prothomalo.com/politics/103ewjf1w7","চট্টগ্রাম বন্দর পরিচালনার দায়িত্ব বিদেশিদের হাতে দিলে প্রতিরোধ: বাংলাদেশ এলডিপির মহাসচিব","",""
"1728738427-2","https://www.prothomalo.com/politics","চট্টগ্রাম বন্দর পরিচালনার দায়িত্ব বিদেশিদের হাতে দিলে প্রতিরোধ: বাংলাদেশ এলডিপির মহাসচিব","https://www.prothomalo.com/politics/103ewjf1w7","","প্রকাশ: ০৮ অক্টোবর ২০২৪, ২১: ৪৬",""
"1728738427-3","https://www.prothomalo.com/politics","চট্টগ্রাম বন্দর পরিচালনার দায়িত্ব বিদেশিদের হাতে দিলে প্রতিরোধ: বাংলাদেশ এলডিপির মহাসচিব","https://www.prothomalo.com/politics/103ewjf1w7","","","চট্টগ্রাম বন্দরের নিউমুরিং কনটেইনার টার্মিনাল (এনসিটি) পরিচালনার দায়িত্ব বিদেশি কোম্পানিকে দেওয়া হলে প্রতিরোধ করা হবে বলে হুঁশিয়ারি দিয়েছেন বাংলাদেশ এলডিপির মহাসচিব শাহাদাত হোসেন সেলিম। তিনি বলেছেন, আওয়ামী লীগ সরকারের আমলে টার্মিনালটি বিদেশি প্রতিষ্ঠানকে দেওয়ার প্রক্রিয়া শুরু হয়। সরকার পরিবর্তনের পরও ফ্যাসিবাদী সরকারের দোসররা একটি মহলের ওপর ভর করে টার্মিনালটি বিদেশিদের হাতে তুলে দেওয়ার চক্রান্তে লিপ্ত।"
"1728738427-4","https://www.prothomalo.com/politics","চট্টগ্রাম বন্দর পরিচালনার দায়িত্ব বিদেশিদের হাতে দিলে প্রতিরোধ: বাংলাদেশ এলডিপির মহাসচিব","https://www.prothomalo.com/politics/103ewjf1w7","","","আজ মঙ্গলবার বিকেলে এক বিবৃতিতে ১২–দলীয় জোটের মুখপাত্র ও বাংলাদেশ এলডিপির মহাসচিব শাহাদাত হোসেন এ কথা বলেন। তিনি বলেন, চট্টগ্রাম বন্দরের এনসিটি টার্মিনাল একটি আয়বর্ধক টার্মিনাল। এতে চট্টগ্রাম বন্দরের নিজস্ব অর্থায়নে যথেষ্ট বিনিয়োগ রয়েছে। টার্মিনালটি দেশীয় অপারেটর দ্বারা সুষ্ঠুভাবে পরিচালিত হচ্ছে। এই মুহূর্তে বিদেশি বিনিয়োগের কোনো প্রয়োজন নেই।"
"1728738427-5","https://www.prothomalo.com/politics","চট্টগ্রাম বন্দর পরিচালনার দায়িত্ব বিদেশিদের হাতে দিলে প্রতিরোধ: বাংলাদেশ এলডিপির মহাসচিব","https://www.prothomalo.com/politics/103ewjf1w7","","","এই অবস্থান থেকে অন্তর্বর্তী সরকারকে সরে আসার আহ্বান জানিয়ে শাহাদাত হোসেন বলেন, ‘সম্প্রতি সরকারের পক্ষ থেকে বিদেশি একটি প্রতিষ্ঠানের কাছে নিউমুরিং কন্টেইনার টার্মিনাল পরিচালনার দায়িত্ব দেওয়ার ব্যাপারে আলোচনা করেছে। আমরা এর তীব্র নিন্দা ও প্রতিবাদ জানাই। আমরা বিদেশি বিনিয়োগের বিপক্ষে নই। তবে নিউমুরিং কনটেইনার টার্মিনাল বিদেশিদের হাতে তুলে না দিয়ে অন্য জায়গায় বিদেশি বিনিয়োগের মাধ্যমে নতুন টার্মিনাল করতে পারে।’"
"1728738427-6","https://www.prothomalo.com/politics","চট্টগ্রাম বন্দর পরিচালনার দায়িত্ব বিদেশিদের হাতে দিলে প্রতিরোধ: বাংলাদেশ এলডিপির মহাসচিব","https://www.prothomalo.com/politics/103ewjf1w7","","","বাংলাদেশ এলডিপির মহাসচিব বলেন, ‘চট্টগ্রাম বন্দরের নিউমুরিং কনটেইনার টার্মিনাল পরিচালনার দায়িত্ব বিদেশি প্রতিষ্ঠানের হাতে তুলে দিলে বন্দরে কর্মরত শ্রমিক-কর্মচারীরা বেকার হয়ে পড়বেন এবং শ্রমিক অসন্তোষসহ বিভিন্ন জটিলতা সৃষ্টি হবে। ফলে অবিলম্বে দেশবিরোধী এই চক্রান্ত থেকে সরে না এলে আমরা রাজনৈতিকভাবে প্রতিরোধ কর্মসূচি দিতে বাধ্য হব।’"
"1728738429-7","https://www.prothomalo.com/politics","তাপসের জন্য ভাত আনতে ৫১ মাসে ব্যয় ২৮ লাখ টাকা","https://www.prothomalo.com/bangladesh/capital/kdjqsiipxc","তাপসের জন্য দুপুরে ভাত আনতে বরাদ্দ ছিল একটি গাড়ি, জ্বালানি খরচ ২৮ লাখ টাকা","",""
"1728738429-8","https://www.prothomalo.com/politics","তাপসের জন্য ভাত আনতে ৫১ মাসে ব্যয় ২৮ লাখ টাকা","https://www.prothomalo.com/bangladesh/capital/kdjqsiipxc","","আপডেট: ০৯ অক্টোবর ২০২৪, ২১: ১৭",""
"1728738429-9","https://www.prothomalo.com/politics","তাপসের জন্য ভাত আনতে ৫১ মাসে ব্যয় ২৮ লাখ টাকা","https://www.prothomalo.com/bangladesh/capital/kdjqsiipxc","","","বনানীর বাসা থেকে শেখ ফজলে নূর তাপসের জন্য প্রতিদিন দুপুরে খাবার আনতে যেত ঢাকা দক্ষিণ সিটি করপোরেশনের একটি গাড়ি। শুধু এ কাজের জন্য করপোরেশনের পরিবহন বিভাগের একজন চালক নিয়োজিত ছিলেন। বনানী থেকে ফুলবাড়িয়ায় দক্ষিণ সিটির প্রধান কার্যালয় নগর ভবনে টিফিন বক্সে করে খাবার আনতে ওই গাড়ির জন্য দিনে ২০ লিটার জ্বালানি তেল (অকটেন) বরাদ্দ ছিল।"
"1728738429-10","https://www.prothomalo.com/politics","তাপসের জন্য ভাত আনতে ৫১ মাসে ব্যয় ২৮ লাখ টাকা","https://www.prothomalo.com/bangladesh/capital/kdjqsiipxc","","","এখন এক লিটার অকটেনের দাম ১২৫ টাকা। সে হিসাবে তাপসের বাসা থেকে দুপুরের খাবার আনার পেছনে দিনে ব্যয় হতো ২ হাজার ৫০০ টাকা। তাপসের খাবার আনার কাজে ব্যবহৃত ওই গাড়ির (সেডান কার) জন্য শুক্র ও শনিবার ছাড়া মাসে বরাদ্দ ছিল ৪৪০ লিটার অকটেন। সব মিলিয়ে গাড়ির পেছনে জ্বালানি বাবদ মাসে খরচ হতো ৫৫ হাজার টাকা, যা বছরে ৬ লাখ ৬০ হাজার টাকা।"
