web-scraper-order,web-scraper-start-url,newsitem,newsitem-href,title,description,image-link-src,topic
"1728755310-1","https://bdnews24.com/politics","Protests as ex-minister MA Mannan sent to jail","https://bdnews24.com/politics/71613284a8d1","Ex-planning minister MA Mannan sent to jail, students stage protest to free him","","",""
"1728755310-2","https://bdnews24.com/politics","Protests as ex-minister MA Mannan sent to jail","https://bdnews24.com/politics/71613284a8d1","","Former planning minister and Sunamganj-3 MP MA Mannan has been sent to jail after he was arrested from his village home in Sunamganj.","",""
"1728755310-3","https://bdnews24.com/politics","Protests as ex-minister MA Mannan sent to jail","https://bdnews24.com/politics/71613284a8d1","","Meanwhile, students have blocked roads demanding the Awami League politician’s release.","",""
"1728755310-4","https://bdnews24.com/politics","Protests as ex-minister MA Mannan sent to jail","https://bdnews24.com/politics/71613284a8d1","","Sunamganj Judicial Magistrate Farhan Sadique ordered that he be sent to jail at 10am on Friday, said lawyer Masuk Alam.","",""
"1728755310-5","https://bdnews24.com/politics","Protests as ex-minister MA Mannan sent to jail","https://bdnews24.com/politics/71613284a8d1","","Earlier, Mannan was presented to the court in a case over an attack on students during the Anti-discrimination Student Movement.","",""
"1728755310-6","https://bdnews24.com/politics","Protests as ex-minister MA Mannan sent to jail","https://bdnews24.com/politics/71613284a8d1","","The prosecution petitioned for him to be remanded while the defence sought his bail. The judge then ordered the case to be heard by a speedy trial court.","",""
"1728755310-7","https://bdnews24.com/politics","Protests as ex-minister MA Mannan sent to jail","https://bdnews24.com/politics/71613284a8d1","","Students from different educational institutions blocked the Sunamganj-Sylhet highway to stage protests against the arrest of Mannan.","",""
"1728755310-8","https://bdnews24.com/politics","Protests as ex-minister MA Mannan sent to jail","https://bdnews24.com/politics/71613284a8d1","","They blocked the Shantiganj point of the highway from 10:30am to 11 am and held a demonstration. They demanded that Mannan be released soon or else threatened to escalate protests.","",""
"1728755310-9","https://bdnews24.com/politics","Protests as ex-minister MA Mannan sent to jail","https://bdnews24.com/politics/71613284a8d1","","Police arrested the former MP around 10:30pm on Thursday from his residence in Shantiganj’s Hijalbari.","",""
"1728755310-10","https://bdnews24.com/politics","Protests as ex-minister MA Mannan sent to jail","https://bdnews24.com/politics/71613284a8d1","","Mannan was arrested in connection with a case filed over an attack on students and civilians during the Anti-discrimination Student Movement in Sunamganj on Aug 4, said AFM Anwar Hossain Khan, a superintendent of police in Sunamganj.","",""
"1728755310-11","https://bdnews24.com/politics","Protests as ex-minister MA Mannan sent to jail","https://bdnews24.com/politics/71613284a8d1","","The Aug 4 attack in Sunamganj injured Jahur Ali from Eroakhai village. His brother Hafiz Ahmed filed a case on Sept 2 against Mannan and 98 others.","",""
"1728755310-12","https://bdnews24.com/politics","Protests as ex-minister MA Mannan sent to jail","https://bdnews24.com/politics/71613284a8d1","","A former bureaucrat, Mannan was first elected to the ninth parliament in 2008.","",""
"1728755310-13","https://bdnews24.com/politics","Protests as ex-minister MA Mannan sent to jail","https://bdnews24.com/politics/71613284a8d1","","In 2003, after retiring from the civil service, Mannan ran as an Awami League candidate in the 2005 by-election for the Sunamganj-3 seat but lost.","",""
"1728755310-14","https://bdnews24.com/politics","Protests as ex-minister MA Mannan sent to jail","https://bdnews24.com/politics/71613284a8d1","","However, he won in both the 2014 and 2018 general elections.","",""
"1728755310-15","https://bdnews24.com/politics","Protests as ex-minister MA Mannan sent to jail","https://bdnews24.com/politics/71613284a8d1","","In 2014, former prime minister Sheikh Hasina appointed him as state minister for planning, and four months later, he took on additional responsibilities at the finance ministry.","",""
"1728755310-16","https://bdnews24.com/politics","Protests as ex-minister MA Mannan sent to jail","https://bdnews24.com/politics/71613284a8d1","","After the 2018 general election, he was made planning minister.","",""
"1728755310-17","https://bdnews24.com/politics","Protests as ex-minister MA Mannan sent to jail","https://bdnews24.com/politics/71613284a8d1","","He won his fourth consecutive term in the Jan 7 general election but was not included in the cabinet. Instead, he was appointed chairman of the parliamentary standing committee on the planning ministry.","",""
