web-scraper-order,web-scraper-start-url,news_item,news_item-href,title,description,images-src,topic,date
"1728755998-1","https://mzamin.com/category.php?cat=4","জোড়া শতকে প্রথম দিন পাকিস্তানের","https://mzamin.com/news.php?news=130717","জোড়া শতকে প্রথম দিন পাকিস্তানের","","","",""
"1728755998-2","https://mzamin.com/category.php?cat=4","জোড়া শতকে প্রথম দিন পাকিস্তানের","https://mzamin.com/news.php?news=130717","","শান মাসুদের যেন কিছুতেই ব্যাটে-বলে মিলছিল না। একের পর এক বাজে হার। তার অধিনায়কত্ব নিয়ে সমালোচনা। সর্বশেষ বাংলাদেশের বিপক্ষে সিরিজে হোয়াইটওয়াশ। দেয়ালে পিঠ ঠেকে যাওয়ার পর ঘুরে দাঁড়ালেন শান মাসুদ, করলেন পাকিস্তানি অধিনায়ক হিসেবে দ্বিতীয় দ্রুততম সেঞ্চুরি। টেস্টে ঘরের মাঠে সেঞ্চুরি করা অধিনায়কদের মধ্যে তার অবস্থান এখন  তিনে। একদিনে অনেক রেকর্ড সঙ্গী হলো তার। গতকাল ইংল্যান্ডের বিপক্ষে মুলতান টেস্টের প্রথম দিন ৪ উইকেটে ৩২৮ রানে খেলা শেষ করে পাকিস্তান। শান মাসুদের সঙ্গে সেঞ্চুরি করেন ওপেনিং ব্যাটসম্যান আব্দুল্লাহ শফিক। 
ইংল্যান্ডের বিপক্ষে মুলতান টেস্ট খেলতে নামার আগে মাসুদ সর্বশেষ সেঞ্চুরি পেয়েছেন ২০২০ সালের ৫ই আগস্ট। ওল্ড ট্রাফোর্ডে ইংল্যান্ডের বিপক্ষে সেই সেঞ্চুরির পর আজকের আগপর্যন্ত খেলেছেন ২৬ ইনিংস। সর্বোচ্চ রান ছিল ৬০। অবশেষে সেই ইংল্যান্ডকে দিয়েই সেঞ্চুরির খরা কাটালেন মাসুদ। দিনের হিসেবে ১৫২৪ পর সেঞ্চুরি আসলো শান মাসুদের ব্যাটে। 
সোমবার মুলতানে শান মাসুদের সেঞ্চুরিটি দুটি দিক থেকে বিশেষ। এই সেঞ্চুরিতে তিনি দুটি দিক থেকে পাকিস্তানের সাবেক অধিনায়ক মিসবাহ উল হকের পরে নাম লেখান। মাসুদ সেঞ্চুরিটি করেন ১০২ বলে। ২০১৪ সালে অস্ট্রেলিয়ার বিপক্ষে মিসবাহের ৫৬ বলে সেঞ্চুরির পর এটাই পাকিস্তানের দ্রুততম টেস্ট সেঞ্চুরি। পাকিস্তানি অধিনায়কদের মধ্যেও মিসবাহের সেই সেঞ্চুরির পর এটা দ্বিতীয় দ্রুততম সেঞ্চুরি। ১৪ টেস্ট খেলে ২৭ ইনিংস পর শতকের দেখা পেলেন তিনি। 
পাকিস্তানের এর চেয়ে কম বলেও টেস্টে সেঞ্চুরি আছে অনেকের। মাজিদ খান ৭৪ বলে সেঞ্চুরি করেন। শহীদ আফ্রিদির দুটি সেঞ্চুরি আছে ৭৮ বলে। এ ছাড়া সরফরাজ আহমেদ ৮০, কামরান আকমল ৮১, ওয়াসিম আকরাম ৮৬, আবদুল রাজ্জাক ৯২ বলে টেস্টে সেঞ্চুরি করেছেন। কিন্তু এর কোনোটিই অধিনায়ক হিসেবে নয়।
সোমবার মুলতানে দিনের শুরুতেই ছিল ‘বাংলাদেশ বিপর্যয়’ থেকে ঘুরে দাঁড়ানোর ইঙ্গিত। শান মাসুদের দেওয়া ইঙ্গিত মেনেই এগোচ্ছে পাকিস্তান-ইংল্যান্ড প্রথম টেস্ট। ঘরের মাঠে বাংলাদেশের কাছে দুই টেস্টের সিরিজে হোয়াইটওয়াশ হওয়ার পর সমালোচনায় পর্যুদস্ত পাকিস্তানের ক্রিকেটাররা এ অবস্থা থেকে বেরিয়ে আসতে চান। সামনে থেকে নেতৃত্ব দিয়ে পথ দেখিয়ে দিলেন শান মাসুদ। শান মাসুদের মতোই ক্যারিয়ারে এটি পঞ্চম সেঞ্চুরি আবদুল্লাহ শফিকের। ১৮৪ বলে ১০২ রানের এই ইনিংসে দুইটি দৃষ্টিনন্দন ছক্কা ও ১০টি চারের মার ছিল। অবশ্য দিনের শুরুতে মাত্র ৪ ওভারের মধ্যে ফিরে যান সায়েম আইয়ুব। এরপর হাল ধরেন শান ও শফিক। শেষ বেলায় বাবর আজম ৭১ বলে ৩০ রান করে সাজঘরে ফেরেন। ৩৫ রান করে অপরাজিত থাকেন সৌদ শাকিল। অন্যপ্রান্তে ৩ বল মোকাবিলা করে  শূন্য রানে দিনের খেলা শেষ করেন ‘নাইটওয়াচ ম্যান’ নাসিম শাহ। পাকিস্তানের ৪ উইকেটের ২টি নেন ইংলিশ পেসার গাস অ্যাটকিনসন। অপর পেসার ক্রিস ওকস ও অফস্পিনার জ্যাক লিচ নেন একটি করে উইকেট।
পাকিস্তান: প্রথম ইনিংস (১ম দিন)
৮৬ ওভারে ৩২৮/৪ (মাসুদ ১৫১, শফিক ১০২, শাকিল ৩৫*, বাবর ৩০; অ্যাটকিনসন ২/৭০, ওকস ১/৫৮, লিচ ১/৬১)","","",""
"1728755998-3","https://mzamin.com/category.php?cat=4","জোড়া শতকে প্রথম দিন পাকিস্তানের","https://mzamin.com/news.php?news=130717","","","","",""
"1728755998-4","https://mzamin.com/category.php?cat=4","জোড়া শতকে প্রথম দিন পাকিস্তানের","https://mzamin.com/news.php?news=130717","","","uploads/news/main/130717_6.webp","",""
"1728755998-5","https://mzamin.com/category.php?cat=4","জোড়া শতকে প্রথম দিন পাকিস্তানের","https://mzamin.com/news.php?news=130717","","","","খেলা",""
"1728756001-6","https://mzamin.com/category.php?cat=4","‘ইচ্ছাকৃতভাবে’ জাতীয় দলে না খেলার অভিযোগ এমবাপ্পের বিরুদ্ধে","https://mzamin.com/news.php?news=130718","‘ইচ্ছাকৃতভাবে’ জাতীয় দলে না খেলার অভিযোগ এমবাপ্পের বিরুদ্ধে","","","",""
"1728756001-7","https://mzamin.com/category.php?cat=4","‘ইচ্ছাকৃতভাবে’ জাতীয় দলে না খেলার অভিযোগ এমবাপ্পের বিরুদ্ধে","https://mzamin.com/news.php?news=130718","","ফ্রান্স দলের প্রতি অধিনায়ক কিলিয়ান এমবাপ্পের নিবেদন নিয়ে প্রশ্ন উঠতে শুরু করেছে।  তুলনা হচ্ছে আন্তোনিও গ্রিজম্যানের অধিনায়কত্বের সঙ্গে। যেখানে এমবাপ্পের সঙ্গী শুধুই সমালোচনা। চোট থেকে সেরে উঠে রিয়াল মাদ্রিদের হয়ে মাঠে নামলেও আপাতত ফ্রান্স দলে পাওয়া যাচ্ছে না তাকে। ফরাসি ক্রীড়া দৈনিক লেকিপ বলছে, চোটের ‘দোহাই’ দিয়ে দলের একাদশে থাকতে চাননি তিনি। বিশ্বকাপজয়ী ফরোয়ার্ডকে নিয়ে এখন ফ্রান্সজুড়ে চলছে প্রবল সমালোচনা। ফ্রান্সের সাবেক ফুটবলার ম?্যাক্সিম বসিস সোমবার ফরাসি ক্রীড়া দৈনিক লে-কিপের সঙ্গে কড়া সমালোচনা করেন এমবাপ্পের। বসিস বলেন, ‘আপনি চোট পেয়েছেন, নিজের ক্লাবের হয়ে খেলতে পারছেন না এবং আপনাকে জাতীয় দলে ডাকা হয়নি- এমন হলে ঠিক আছে। কিন্তু যখন আপনি চ্যাম্পিয়নস লীগের ম্যাচে নামছেন এবং লীগ ম্যাচে শুরুর একাদশে খেলছেন, তখন পরিস্থিতি ঘোলাটে করে ফেলে। সে বিশেষ একজন খেলোয়াড়। মিশেল প্লাতিনি যখন চোট পেতেন তখনও তাকে আমরা দলে চাইতাম।’
নেশন্স লীগের সামনের দুই ম্যাচের জন্যই স্পেন থেকে ফ্রান্সে উড়ে আসেন এমবাপ্পে। কিন্তু পরবর্তী দুই ম্যাচের দল ঘোষণার সময় দেখা গেল এমবাপ্পে নেই স্কোয়াডে। এ নিয়ে এই বিশ্বকাপজয়ী ফুটবলারের সমালোচনা হচ্ছে। হাঙ্গেরির বুদাপেস্টে আগামী ১০ই অক্টোবর ইসরাইলের মুখোমুখি হবে ফ্রান্স। চার দিন পর ব্রাসেলসে কেভিন ডি ব্রুইনার বেলজিয়ামের বিপক্ষে লড়বে ফরাসিরা। গত ২৪ই সেপ্টেম্বর লা লিগায় দেপোর্তিভো আলাভেসের বিপক্ষে ৩-২ গোলের কষ্টার্জিত জয়ের ম্যাচে বাম পায়ের ঊরুর পেশিতে চোট পান এমবাপ্পে। এর আগে ওই ম্যাচের ৪০তম মিনিটে গোলও করেন তিনি। কিন্তু চোট পেয়ে ৮০তম মিনিটে মাঠ ছাড়তে হয় তাকে। প্রাথমিকভাবে ধারণা করা হয়, অন্তত ৩ সপ্তাহ মাঠের বাইরে থাকতে হবে তাকে। কিন্তু দ্রুতই সেরে ওঠেন তিনি। গত বুধবার চ্যাম্পিয়নস লীগে লিল অলিম্পিক স্পোর্টিং ক্লাবের বিপক্ষে ১-০ গোলে হারা ম্যাচে শেষ ৩৫ মিনিট খেলেন এমবাপ্পে। পরে লা লিগায় ভিয়ারিয়ালের বিপক্ষে ফেরেন শুরুর একাদশে।","","",""
"1728756001-8","https://mzamin.com/category.php?cat=4","‘ইচ্ছাকৃতভাবে’ জাতীয় দলে না খেলার অভিযোগ এমবাপ্পের বিরুদ্ধে","https://mzamin.com/news.php?news=130718","","এরপরই নেশন্স লীগের আসন্ন দুই ম্যাচের জন্য ২৩ সদস্যের দল ঘোষণা করেন ফ্রান্স কোচ দিদিয়ের দেশম। তিনি এসময় এমবাপ্পেকে স্কোয়াডে না রাখার সিদ্ধান্ত জানিয়ে বলেন, ‘পুরোপুরি সেরে ওঠার জন্য এমবাপ্পেকে বিশ্রাম দিয়েছি।’ কিন্তু অধিনায়ককে দলে না দেখে ক্ষুব্ধ প্রতিক্রিয়া জানান ফরাসি সমর্থকরা।","","",""
"1728756001-9","https://mzamin.com/category.php?cat=4","‘ইচ্ছাকৃতভাবে’ জাতীয় দলে না খেলার অভিযোগ এমবাপ্পের বিরুদ্ধে","https://mzamin.com/news.php?news=130718","","","","",""
"1728756001-10","https://mzamin.com/category.php?cat=4","‘ইচ্ছাকৃতভাবে’ জাতীয় দলে না খেলার অভিযোগ এমবাপ্পের বিরুদ্ধে","https://mzamin.com/news.php?news=130718","","","","",""
