web-scraper-order,web-scraper-start-url,news-selector,news-selector-href,title,description,images-src
"1728743541-1","https://www.prothomalo.com/sports","৩৩ বছর বয়সে ফুটবলকে বিদায় জানালেন লিভারপুলের সাবেক ডিফেন্ডার","https://www.prothomalo.com/sports/football/vc14i0vz0w","৩৩ বছর বয়সে ফুটবলকে বিদায় জানালেন লিভারপুলের সাবেক ডিফেন্ডার","",""
"1728743541-2","https://www.prothomalo.com/sports","৩৩ বছর বয়সে ফুটবলকে বিদায় জানালেন লিভারপুলের সাবেক ডিফেন্ডার","https://www.prothomalo.com/sports/football/vc14i0vz0w","","লিভারপুলে আর খেলবেন না, সেটা জানা গিয়েছিল এ বছরের মে মাসেই। মৌসুম শেষে লিভারপুল ছাড়ার ঘোষণা দিয়েছিলেন জার্মানিতে জন্ম নেওয়া ক্যামেরুনের সাবেক ফুটবলার জোয়েল মাতিপ। তবে লিভারপুলকে বিদায় জানালেও তিনি নতুন কোনো ক্লাব পাননি। অবশেষে ৩৩ বছর বয়সেই পেশাদার ফুটবলকে বিদায় বলে দিলেন ক্যামেরুনিয়ান ডিফেন্ডার।",""
"1728743541-3","https://www.prothomalo.com/sports","৩৩ বছর বয়সে ফুটবলকে বিদায় জানালেন লিভারপুলের সাবেক ডিফেন্ডার","https://www.prothomalo.com/sports/football/vc14i0vz0w","","২০০৯ সালে জার্মানির ক্লাব শালকে দিয়ে পেশাদার ফুটবল ক্যারিয়ার শুরু করা মাতিপ ফ্রি ট্রান্সফারে লিভারপুলে নাম লেখান ২০১৬ সালে। টানা আট মৌসুম অ্যানফিল্ডের ক্লাবটিতে খেলে একটি করে প্রিমিয়ার লিগ ও চ্যাম্পিয়নস লিগসহ মোট ছয়টি শিরোপা জেতেন মাতিপ।",""
"1728743541-4","https://www.prothomalo.com/sports","৩৩ বছর বয়সে ফুটবলকে বিদায় জানালেন লিভারপুলের সাবেক ডিফেন্ডার","https://www.prothomalo.com/sports/football/vc14i0vz0w","","২০২৩ সালের ডিসেম্বরে এসিএলের চোটে পড়ে মৌসুম শেষ হয়ে যায় তাঁর। এরপর এ বছরের মে মাসে লিভারপুল ছাড়ার ঘোষণা দেন তিনি। মাতিপের পেশাদার ফুটবলকে বিদায় জানানো নিয়ে লিভারপুল তাদের ওয়েবসাইটে একটি বিবৃতি দিয়েছে।",""
"1728743541-5","https://www.prothomalo.com/sports","৩৩ বছর বয়সে ফুটবলকে বিদায় জানালেন লিভারপুলের সাবেক ডিফেন্ডার","https://www.prothomalo.com/sports/football/vc14i0vz0w","","বিবৃতিতে লিভারপুল লিখেছে, ‘২০১৬ সালে শালকে ০৪ থেকে ফ্রি ট্রান্সফারে এসে ইয়ুর্গেন ক্লপের লিভারপুলের মূল খেলোয়াড়দের একজন ছিলেন মাতিপ। দলকে চ্যাম্পিয়নস লিগে ফেরাতে গুরুত্বপূর্ণ ভূমিকা রাখেন। ২০১৯ সালে লিভারপুলকে চ্যাম্পিয়নস লিগ জেতাতেও দারুণ ভূমিকা ছিল তাঁর। লিভারপুলে সবাই জোয়েল আর তাঁর পরিবারের সুন্দর ভবিষ্যৎ আশা করে।’",""
"1728743541-6","https://www.prothomalo.com/sports","৩৩ বছর বয়সে ফুটবলকে বিদায় জানালেন লিভারপুলের সাবেক ডিফেন্ডার","https://www.prothomalo.com/sports/football/vc14i0vz0w","","একজন ডিফেন্ডার হিসেবে মূল কাজ গোল বাঁচানো হলেও লিভারপুলের হয়ে আট মৌসুমে সব ধরনের প্রতিযোগিতায় ২০০–এর বেশি ম্যাচ খেলে মাতিপ ১১টি গোল করেছেন, সহায়তা করেছেন সতীর্থদের ৬টি গোলে। চোটজর্জর পেশাদার ক্যারিয়ারে ক্যামেরুনের হয়ে ২৭টি ম্যাচ খেলেছেন মাতিপ।",""
"1728743541-7","https://www.prothomalo.com/sports","৩৩ বছর বয়সে ফুটবলকে বিদায় জানালেন লিভারপুলের সাবেক ডিফেন্ডার","https://www.prothomalo.com/sports/football/vc14i0vz0w","","","https://images.prothomalo.com/prothomalo-bangla%2F2024-10-12%2F5tlar613%2F2700506.webp?rect=0%2C5%2C800%2C533&auto=format%2Ccompress&fmt=webp&format=webp&w=640&dpr=1.0"
"1728743545-8","https://www.prothomalo.com/sports","স্পোর্টস কুইজ টেস্টে সবচেয়ে বেশি ট্রিপল সেঞ্চুরি, বিশ্বকাপ ফাইনালের দ্রুততম গোল ও আরও ৮ প্রশ্ন","https://www.prothomalo.com/sports/bte765fcfp","টেস্টে সবচেয়ে বেশি ট্রিপল সেঞ্চুরি, বিশ্বকাপ ফাইনালের দ্রুততম গোল ও আরও ৮ প্রশ্ন","",""
"1728743545-9","https://www.prothomalo.com/sports","স্পোর্টস কুইজ টেস্টে সবচেয়ে বেশি ট্রিপল সেঞ্চুরি, বিশ্বকাপ ফাইনালের দ্রুততম গোল ও আরও ৮ প্রশ্ন","https://www.prothomalo.com/sports/bte765fcfp","","","https://images.prothomalo.com/prothomalo-bangla%2F2024-10-12%2F29omsbqa%2F990832-01-02.jpg?rect=0%2C0%2C3736%2C2491&auto=format%2Ccompress&fmt=webp&format=webp&w=640&dpr=1.0"
"1728743550-10","https://www.prothomalo.com/sports","ভারতীয় পুলিশের ডিএসপি হলেন সিরাজ, পেলেন প্লটও","https://www.prothomalo.com/sports/cricket/luzh17lxus","ভারতীয় পুলিশের ডিএসপি হলেন সিরাজ, পেলেন প্লটও","",""
