web-scraper-order,web-scraper-start-url,newsitem,newsitem-href,title,description,image-link-src,topic
"1728755133-1","https://bdnews24.com/sport","Real regain confidence, lose Carvajal in Villarreal win","https://bdnews24.com/sport/d1dc66fa00e7","Real regain confidence, lose Carvajal to injury in Villarreal win","","",""
"1728755133-2","https://bdnews24.com/sport","Real regain confidence, lose Carvajal in Villarreal win","https://bdnews24.com/sport/d1dc66fa00e7","","Real Madrid defender Dani Carvajal suffered what looked to be a serious knee injury in their LaLiga win against Villarreal, coach Carlo Ancelotti said on Saturday, after the Spanish champions recovered their winning touch.","",""
"1728755133-3","https://bdnews24.com/sport","Real regain confidence, lose Carvajal in Villarreal win","https://bdnews24.com/sport/d1dc66fa00e7","","","",""
"1728755133-4","https://bdnews24.com/sport","Real regain confidence, lose Carvajal in Villarreal win","https://bdnews24.com/sport/d1dc66fa00e7","","Real beat Villarreal 2-0 to bounce back after two games without a victory, having lost 1-0 at Lille in the Champions League on Wednesday and being held to a 1-1 draw at Atletico Madrid in their previous league game.","",""
"1728755133-5","https://bdnews24.com/sport","Real regain confidence, lose Carvajal in Villarreal win","https://bdnews24.com/sport/d1dc66fa00e7","","","",""
"1728755133-6","https://bdnews24.com/sport","Real regain confidence, lose Carvajal in Villarreal win","https://bdnews24.com/sport/d1dc66fa00e7","","But the defending champions were dealt a blow in stoppage time when Carvajal's screams of pain were heard and the stadium went silent as the right-back needed to be carried away on a stretcher.","",""
"1728755133-7","https://bdnews24.com/sport","Real regain confidence, lose Carvajal in Villarreal win","https://bdnews24.com/sport/d1dc66fa00e7","","LaLiga - Real Madrid v Villarreal - Santiago Bernabeu, Madrid, Spain - Oct 5, 2024 Real Madrid's Dani Carvajal receives medical attention after sustaining an injury REUTERS/Susana Vera","",""
"1728755133-8","https://bdnews24.com/sport","Real regain confidence, lose Carvajal in Villarreal win","https://bdnews24.com/sport/d1dc66fa00e7","","LaLiga - Real Madrid v Villarreal - Santiago Bernabeu, Madrid, Spain - Oct 5, 2024 Real Madrid's Dani Carvajal receives medical attention after sustaining an injury REUTERS/Susana Vera","",""
"1728755133-9","https://bdnews24.com/sport","Real regain confidence, lose Carvajal in Villarreal win","https://bdnews24.com/sport/d1dc66fa00e7","","""It looks like a pretty serious knee injury, the dressing room is sad and worried,"" Ancelotti told a press conference.","",""
"1728755133-10","https://bdnews24.com/sport","Real regain confidence, lose Carvajal in Villarreal win","https://bdnews24.com/sport/d1dc66fa00e7","","","",""
"1728755133-11","https://bdnews24.com/sport","Real regain confidence, lose Carvajal in Villarreal win","https://bdnews24.com/sport/d1dc66fa00e7","","""It's something that happens a lot of times because of the calendar and it's happened to a very important player for us.""","",""
"1728755133-12","https://bdnews24.com/sport","Real regain confidence, lose Carvajal in Villarreal win","https://bdnews24.com/sport/d1dc66fa00e7","","","",""
"1728755133-13","https://bdnews24.com/sport","Real regain confidence, lose Carvajal in Villarreal win","https://bdnews24.com/sport/d1dc66fa00e7","","Spain defender Carvajal, 32, got injured in a duel with Villarreal midfielder Yeremy Pino, when his right knee suffered an unnatural movement as the player stretched it upwards.","",""
"1728755133-14","https://bdnews24.com/sport","Real regain confidence, lose Carvajal in Villarreal win","https://bdnews24.com/sport/d1dc66fa00e7","","","",""
"1728755133-15","https://bdnews24.com/sport","Real regain confidence, lose Carvajal in Villarreal win","https://bdnews24.com/sport/d1dc66fa00e7","","""He is a fundamental player for us because of his experience, seriousness,"" Ancelotti said.","",""
"1728755133-16","https://bdnews24.com/sport","Real regain confidence, lose Carvajal in Villarreal win","https://bdnews24.com/sport/d1dc66fa00e7","","","",""
"1728755133-17","https://bdnews24.com/sport","Real regain confidence, lose Carvajal in Villarreal win","https://bdnews24.com/sport/d1dc66fa00e7","","""I've been talking to him and he's sad, but there's not much we can do. We are going to see the medical evaluation and think about him recovering. The doctor has told us that he has to do tests, but that it's a knee injury.""","",""
"1728755133-18","https://bdnews24.com/sport","Real regain confidence, lose Carvajal in Villarreal win","https://bdnews24.com/sport/d1dc66fa00e7","","LaLiga - Real Madrid v Villarreal - Santiago Bernabeu, Madrid, Spain - Oct 5, 2024 Real Madrid's Vinicius Junior celebrates scoring their second goal REUTERS/Susana Vera","",""
"1728755133-19","https://bdnews24.com/sport","Real regain confidence, lose Carvajal in Villarreal win","https://bdnews24.com/sport/d1dc66fa00e7","","LaLiga - Real Madrid v Villarreal - Santiago Bernabeu, Madrid, Spain - Oct 5, 2024 Real Madrid's Vinicius Junior celebrates scoring their second goal REUTERS/Susana Vera","",""
"1728755133-20","https://bdnews24.com/sport","Real regain confidence, lose Carvajal in Villarreal win","https://bdnews24.com/sport/d1dc66fa00e7","","Six-time Champions League winner Carvajal, one of Real's key players, was sent to undergo medical tests right away with the injury possibly season-ending, Spanish media reported.","",""
"1728755133-21","https://bdnews24.com/sport","Real regain confidence, lose Carvajal in Villarreal win","https://bdnews24.com/sport/d1dc66fa00e7","","","",""
"1728755133-22","https://bdnews24.com/sport","Real regain confidence, lose Carvajal in Villarreal win","https://bdnews24.com/sport/d1dc66fa00e7","","""We have Lucas Vazquez, but it's not the time to talk about this,"" Ancelotti added.","",""
"1728755133-23","https://bdnews24.com/sport","Real regain confidence, lose Carvajal in Villarreal win","https://bdnews24.com/sport/d1dc66fa00e7","","","",""
"1728755133-24","https://bdnews24.com/sport","Real regain confidence, lose Carvajal in Villarreal win","https://bdnews24.com/sport/d1dc66fa00e7","","""We are going to wait and if the injury is serious we are going to manage the squad well and see who we put in this position. It will not be me.""","",""
"1728755133-25","https://bdnews24.com/sport","Real regain confidence, lose Carvajal in Villarreal win","https://bdnews24.com/sport/d1dc66fa00e7","","","",""
"1728755133-26","https://bdnews24.com/sport","Real regain confidence, lose Carvajal in Villarreal win","https://bdnews24.com/sport/d1dc66fa00e7","","Carvajal's injury is another blow to Real defence, who were without goalkeeper Thibaut Courtois against Villarreal after the Belgian keeper suffered an injury to the abductor of his left leg in the Atletico draw last weekend.","",""
"1728755133-27","https://bdnews24.com/sport","Real regain confidence, lose Carvajal in Villarreal win","https://bdnews24.com/sport/d1dc66fa00e7","","","https://cdn.bdnews24.com/bdnews24/media/english/imgAll/2024October/laliga-real-madrid-villarreal-061024-01-1728182954.jpg",""
"1728755133-28","https://bdnews24.com/sport","Real regain confidence, lose Carvajal in Villarreal win","https://bdnews24.com/sport/d1dc66fa00e7","","","","Sport"
"1728755135-29","https://bdnews24.com/sport","Real's Carvajal to undergo surgery","https://bdnews24.com/sport/4498cd5c7ac4","Real's Carvajal to undergo surgery after cruciate ligament injury","","",""
"1728755135-30","https://bdnews24.com/sport","Real's Carvajal to undergo surgery","https://bdnews24.com/sport/4498cd5c7ac4","","Real Madrid right back Dani Carvajal will undergo surgery after rupturing two ligaments and a tendon in his right leg, the LaLiga club said after the Spaniard was taken off on a stretcher during Saturday's 2-0 home win over Villarreal.","",""
"1728755135-31","https://bdnews24.com/sport","Real's Carvajal to undergo surgery","https://bdnews24.com/sport/4498cd5c7ac4","","The 32-year-old Spain international twisted his right knee during a duel with Villarreal midfielder Yeremy Pino in stoppage time.","",""
"1728755135-32","https://bdnews24.com/sport","Real's Carvajal to undergo surgery","https://bdnews24.com/sport/4498cd5c7ac4","","""Serious cruciate ligament injury confirmed, I'll have to undergo surgery and be off the field for a few months,"" Carvajal said on Instagram, where he also posted a picture of himself in an ambulance.","",""
"1728755135-33","https://bdnews24.com/sport","Real's Carvajal to undergo surgery","https://bdnews24.com/sport/4498cd5c7ac4","","""Looking forward to starting the recovery process and coming back like an animal. Thank you all for your messages, I feel very loved,"" he added.","",""
"1728755135-34","https://bdnews24.com/sport","Real's Carvajal to undergo surgery","https://bdnews24.com/sport/4498cd5c7ac4","","Real manager Carlo Ancelotti said he was concerned about Carvajal's injury, the latest blow for the Spanish side after they played without goalkeeper Thibaut Courtois, who suffered an abductor muscle injury against Atletico Madrid last weekend.","",""
"1728755135-35","https://bdnews24.com/sport","Real's Carvajal to undergo surgery","https://bdnews24.com/sport/4498cd5c7ac4","","In a statement on Sunday, Real said Carvajal had been ""diagnosed with a ruptured anterior cruciate ligament, a ruptured external collateral ligament and a ruptured popliteal tendon in his right leg.""","",""
"1728755135-36","https://bdnews24.com/sport","Real's Carvajal to undergo surgery","https://bdnews24.com/sport/4498cd5c7ac4","","Real later announced that they had extended Carvajal's contract until June 2026.","",""
"1728755135-37","https://bdnews24.com/sport","Real's Carvajal to undergo surgery","https://bdnews24.com/sport/4498cd5c7ac4","","""Real Madrid would like to show him all its support and affection and wishes him a speedy recovery so that we can enjoy his football on the pitch again as soon as possible,"" they said in a statement.","",""
"1728755135-38","https://bdnews24.com/sport","Real's Carvajal to undergo surgery","https://bdnews24.com/sport/4498cd5c7ac4","","The LaLiga club also said that Brazilian winger Vinicius Jr. had suffered a neck injury in the same match.","",""
"1728755135-39","https://bdnews24.com/sport","Real's Carvajal to undergo surgery","https://bdnews24.com/sport/4498cd5c7ac4","","Real are second in the standings, level on 21 points with leaders Barcelona, who visit 11th-placed Deportivo Alaves later on Sunday.","",""
"1728755135-40","https://bdnews24.com/sport","Real's Carvajal to undergo surgery","https://bdnews24.com/sport/4498cd5c7ac4","","","",""
"1728755135-41","https://bdnews24.com/sport","Real's Carvajal to undergo surgery","https://bdnews24.com/sport/4498cd5c7ac4","","","https://cdn.bdnews24.com/bdnews24/media/english/imgAll/2024October/carvajal-061024-01-1728220995.jpg",""
"1728755135-42","https://bdnews24.com/sport","Real's Carvajal to undergo surgery","https://bdnews24.com/sport/4498cd5c7ac4","","","","Sport"
"1728755137-43","https://bdnews24.com/sport","Lewandowski nets hat-trick as Barca beat Alaves","https://bdnews24.com/sport/bdf5aa7a04fc","Lewandowski nets hat-trick as Barcelona beat Alaves 3-0","","",""
"1728755137-44","https://bdnews24.com/sport","Lewandowski nets hat-trick as Barca beat Alaves","https://bdnews24.com/sport/bdf5aa7a04fc","","Robert Lewandowski's first-half hat-trick guided LaLiga leaders Barcelona to a 3-0 win away at Deportivo Alaves on Sunday as the Polish striker extended his lead at the top of the league's scoring charts.","",""
"1728755137-45","https://bdnews24.com/sport","Lewandowski nets hat-trick as Barca beat Alaves","https://bdnews24.com/sport/bdf5aa7a04fc","","Barcelona wasted no time in going in front when Lewandowski headed home from a Raphinha free kick in the seventh minute before the Brazilian winger provided another assist on a counter-attack for the 36-year-old striker to grab his second.","",""
"1728755137-46","https://bdnews24.com/sport","Lewandowski nets hat-trick as Barca beat Alaves","https://bdnews24.com/sport/bdf5aa7a04fc","","Lewandowski completed his hat-trick in the 32nd minute for his 10th LaLiga goal in nine games this season, but despite their dominance Barcelona could not score another as Antonio Sivera stood strong in the Alaves goal with six saves.","",""
