web-scraper-order,web-scraper-start-url,news_item,news_item-href,title,description,images-src,topic,date
"1728757220-1","https://mzamin.com/category.php?cat=15#gsc.tab=0","বিজ্ঞাপন এড়াতে ইউরোপের ইনস্টাগ্রাম, ফেসবুক ব্যবহারকারীদের এবার অর্থ ব্যয় করতে হবে","https://mzamin.com/news.php?news=72295","বিজ্ঞাপন এড়াতে ইউরোপের ইনস্টাগ্রাম, ফেসবুক ব্যবহারকারীদের এবার অর্থ ব্যয় করতে হবে","","","",""
"1728757220-2","https://mzamin.com/category.php?cat=15#gsc.tab=0","বিজ্ঞাপন এড়াতে ইউরোপের ইনস্টাগ্রাম, ফেসবুক ব্যবহারকারীদের এবার অর্থ ব্যয় করতে হবে","https://mzamin.com/news.php?news=72295","","যত দিন এগোচ্ছে ততই বৃদ্ধি পাচ্ছে সোশ্যাল মিডিয়ার ব্যবহারকারীর সংখ্যা। এরই মধ্যে মেটা তার দু’টি বড় সোশ্যাল মিডিয়া প্ল্যাটফর্ম ফেসবুক এবং ইনস্টাগ্রামের জন্য বড় সিদ্ধান্ত নিলো। এবার থেকে ফেসবুক এবং ইনস্টাগ্রাম ব্যবহার করার ক্ষেত্রে অর্থ ব্যয় করতে হবে। রিপোর্ট অনুযায়ী, বর্তমানে ইউরোপের জন্য এই সিদ্ধান্ত নিয়েছে মেটা। যারা ফেসবুক এবং ইনস্টাগ্রাম সাবস্ক্রিপশনের জন্য অর্থ প্রদান করেন তারা অ্যাপগুলিতে বিজ্ঞাপন দেখতে পাবেন না।","","",""
"1728757220-3","https://mzamin.com/category.php?cat=15#gsc.tab=0","বিজ্ঞাপন এড়াতে ইউরোপের ইনস্টাগ্রাম, ফেসবুক ব্যবহারকারীদের এবার অর্থ ব্যয় করতে হবে","https://mzamin.com/news.php?news=72295","","এটি মেটাকে ব্যবহারকারীদের কোম্পানির বিজ্ঞাপন-ভিত্তিক পরিষেবাগুলির বিকল্প প্রদান করে ইউরোপীয় ইউনিয়ন নিয়ন্ত্রকদের গোপনীয়তা উদ্বেগ কমাতে সাহায্য করতে পারে। জানা গিয়েছে, ইউরোপিয় ইউনিয়নভুক্ত দেশগুলির ব্যবহারকারীদের জন্য ফেসবুক ও ইনস্টাগ্রামের দু’টি সার্ভিস থাকবে। যার একটি পেইড এবং অন্যটি বিনামূল্যে মিলবে। যাঁরা ফেসবুক এবং ইনস্টাগ্রামের পেইড সার্ভিস গ্রহণ করবেন তাঁদের ওই প্ল্যাটফর্মগুলিতে বিজ্ঞাপন দেখানো হবে না। তবে, ফ্রি ভার্সানের ক্ষেত্রে আগের মতোই বিজ্ঞাপন দেখানো হবে। তবে, মেটার তরফে এখনও এই সিদ্ধান্তের বিষয়ে কোনো অফিসিয়াল বিবৃতি জারি করা হয়নি। প্রায় ২০ বছর ধরে, মেটার মূল ব্যবসা ব্যবহারকারীদের জন্য বিনামূল্যে সামাজিক নেটওয়ার্কিং পরিষেবা প্রদান এবং গ্রাহকদের  কাছে পৌঁছাতে চায় এমন কোম্পানিগুলির কাছে বিজ্ঞাপন বিক্রি করার উপর কেন্দ্রীভূত হয়েছে।","","",""
"1728757220-4","https://mzamin.com/category.php?cat=15#gsc.tab=0","বিজ্ঞাপন এড়াতে ইউরোপের ইনস্টাগ্রাম, ফেসবুক ব্যবহারকারীদের এবার অর্থ ব্যয় করতে হবে","https://mzamin.com/news.php?news=72295","","নতুন নিয়মের জেরে কোম্পানিগুলিকে ডেটা গোপনীয়তা নিয়ম এবং অন্যান্য সরকারী নীতিগুলি মেনে চলতে পণ্যগুলিকে পুনরায় ডিজাইন করতে হবে, বিশেষ করে ইউরোপে। জুলাই মাসে, ইউরোপীয় ইউনিয়নের সর্বোচ্চ আদালত মেটাকে কার্যকরভাবে তার প্ল্যাটফর্ম জুড়ে ব্যবহারকারীদের সম্পর্কে সংগৃহীত ডেটা - ফেসবুক, ইনস্টাগ্রাম এবং হোয়াটসঅ্যাপ সহ একত্রিত করতে বাধা দেয়, যদি না তাতে ব্যবহারকারীদের স্পষ্ট সম্মতি থাকে।","","",""
"1728757220-5","https://mzamin.com/category.php?cat=15#gsc.tab=0","বিজ্ঞাপন এড়াতে ইউরোপের ইনস্টাগ্রাম, ফেসবুক ব্যবহারকারীদের এবার অর্থ ব্যয় করতে হবে","https://mzamin.com/news.php?news=72295","","জানুয়ারি মাসে, আইরিশ নিয়ন্ত্রকদের দ্বারা কোম্পানিটিকে ৩৯০ মিলিয়ন ইউরো জরিমানা করা হয়েছিল যাতে ব্যবহারকারীদের ফেসবুক ব্যবহারের শর্ত হিসাবে ব্যক্তিগতকৃত বিজ্ঞাপনগুলি গ্রহণ করতে বাধ্য করা হয়। ২৭ টি দেশ এবং প্রায় ৪৫০ মিলিয়ন মানুষ নিয়ে গঠিত ইউরোপীয় ইউনিয়নে বসবাসকারীরা কীভাবে মেটার নতুন প্রবিধানকে গ্রহণ করে সেটাই দেখার বিষয়।","","",""
"1728757220-6","https://mzamin.com/category.php?cat=15#gsc.tab=0","বিজ্ঞাপন এড়াতে ইউরোপের ইনস্টাগ্রাম, ফেসবুক ব্যবহারকারীদের এবার অর্থ ব্যয় করতে হবে","https://mzamin.com/news.php?news=72295","","আগামী বছরের মধ্যে, আরেকটি ইইউ প্রযুক্তি-কেন্দ্রিক ডিজিটাল আইন কার্যকর হবে। এর আওতায় ইইউ প্রথমবারের মতো iPhone এবং iPad এ অ্যাপ স্টোরের বিকল্পগুলি ডাউনলোড করার অনুমতি দেবে বলে আশা করা হচ্ছে। মেটা, যা মেসেঞ্জারেরও মালিক, ইইউ নিয়ন্ত্রকদের কাছ থেকে বিশেষ তদন্তের সম্মুখীন হয়েছে। মে মাসে, ইইউ সিলিকন ভ্যালি কোম্পানিকে ১.২ বিলিয়ন ইউরো জরিমানা করে তার গোপনীয়তা আইন লঙ্ঘনের জন্য। মেটা এই রায়ের বিরুদ্ধে আপিল করেছে।","","",""
"1728757220-7","https://mzamin.com/category.php?cat=15#gsc.tab=0","বিজ্ঞাপন এড়াতে ইউরোপের ইনস্টাগ্রাম, ফেসবুক ব্যবহারকারীদের এবার অর্থ ব্যয় করতে হবে","https://mzamin.com/news.php?news=72295","","২০২১ সালের ডেটা ফাঁসের জন্য ২৬৫ মিলিয়ন-ইউরো জরিমানা সহ GDPR-এর অন্যান্য লঙ্ঘনের জন্য মেটাকে জরিমানা করা হয়েছে। আইরিশ নিয়ন্ত্রকরা হোয়াটসঅ্যাপের একটি ক্ষেত্রে লঙ্ঘনের জন্য ২২৫ মিলিয়ন ইউরো এবং ডেটা ফাঁসের জন্য আরও ১৭৭ মিলিয়ন ইউরো জরিমানা করেছে। উত্তর আমেরিকার পরে মেটার জন্য ইউরোপ দ্বিতীয় সবচেয়ে লাভজনক অঞ্চল। সুসান লি, মেটার প্রধান আর্থিক কর্মকর্তা, এপ্রিলে বলেছিলেন যে ইইউতে বিজ্ঞাপন কোম্পানির সামগ্রিক ব্যবসার ১০% প্রতিনিধিত্ব করে। গত বছর মেটার আয় প্রায় ১১৭ বিলিয়ন ডলার ছিল। তার ইউরোপীয় চ্যালেঞ্জের বাইরেও, বিজ্ঞাপন-বিক্রয় বৃদ্ধি বাধাগ্রস্ত হওয়ার পরে মেটা তার ব্যবসাকে পুনরুজ্জীবিত করার চেষ্টা জারি রেখেছে।","","",""
"1728757220-8","https://mzamin.com/category.php?cat=15#gsc.tab=0","বিজ্ঞাপন এড়াতে ইউরোপের ইনস্টাগ্রাম, ফেসবুক ব্যবহারকারীদের এবার অর্থ ব্যয় করতে হবে","https://mzamin.com/news.php?news=72295","","সূত্র : seattletimes.com","","",""
"1728757220-9","https://mzamin.com/category.php?cat=15#gsc.tab=0","বিজ্ঞাপন এড়াতে ইউরোপের ইনস্টাগ্রাম, ফেসবুক ব্যবহারকারীদের এবার অর্থ ব্যয় করতে হবে","https://mzamin.com/news.php?news=72295","","","uploads/news/main/72295_meta.webp","",""
"1728757220-10","https://mzamin.com/category.php?cat=15#gsc.tab=0","বিজ্ঞাপন এড়াতে ইউরোপের ইনস্টাগ্রাম, ফেসবুক ব্যবহারকারীদের এবার অর্থ ব্যয় করতে হবে","https://mzamin.com/news.php?news=72295","","","","তথ্য প্রযুক্তি",""
